DateTimeYear,index,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite
2 December 10:43:26-2017,7059,Soyuz-2.1b,Kosmos-2524 (Lotos No. 2 803),,LEO,ELINT,In orbit,Operational,,
3 December 04:11-2017,7061,Long March 2D,LKW-1[107],CAS,LEO,Earth observation,In orbit,Operational,,
10 December 16:41 [108]-2017,"7063, 7064",Long March 3B,"Alcomsat-1, First Algerian geostationary communications satellite","Algerian Space Agency, First Algerian geostationary communications satellite","GEO, First Algerian geostationary communications satellite","Communications, First Algerian geostationary communications satellite","In orbit, First Algerian geostationary communications satellite","Operational, First Algerian geostationary communications satellite",,
12 December 18:36:07-2017,"7066, 7067",Ariane 5 ES,"Galileo FOC 15-18, Second Galileo launch with Ariane 5 (9th overall), carrying Nicole, Zofia, Alexandre, and Irina.","ESA, Second Galileo launch with Ariane 5 (9th overall), carrying Nicole, Zofia, Alexandre, and Irina.","MEO, Second Galileo launch with Ariane 5 (9th overall), carrying Nicole, Zofia, Alexandre, and Irina.","Navigation, Second Galileo launch with Ariane 5 (9th overall), carrying Nicole, Zofia, Alexandre, and Irina.","In orbit, Second Galileo launch with Ariane 5 (9th overall), carrying Nicole, Zofia, Alexandre, and Irina.","Operational, Second Galileo launch with Ariane 5 (9th overall), carrying Nicole, Zofia, Alexandre, and Irina.",,
15 December 15:36-2017,"7069, 7070",Falcon 9 Full Thrust,"SpaceX CRS-13, Re-used the first-stage booster from CRS-11 (2017) and the Dragon capsule from CRS-6 (2015)[109]","NASA, Re-used the first-stage booster from CRS-11 (2017) and the Dragon capsule from CRS-6 (2015)[109]","LEO (ISS), Re-used the first-stage booster from CRS-11 (2017) and the Dragon capsule from CRS-6 (2015)[109]","ISS logistics, Re-used the first-stage booster from CRS-11 (2017) and the Dragon capsule from CRS-6 (2015)[109]","13 January 2018, Re-used the first-stage booster from CRS-11 (2017) and the Dragon capsule from CRS-6 (2015)[109]","Successful, Re-used the first-stage booster from CRS-11 (2017) and the Dragon capsule from CRS-6 (2015)[109]",,
17 December 07:21-2017,"7072, 7073",Soyuz-FG,"Soyuz MS-07 / 53S, Crewed flight with three cosmonauts.","Roscosmos, Crewed flight with three cosmonauts.","LEO (ISS), Crewed flight with three cosmonauts.","Expedition 54/55, Crewed flight with three cosmonauts.","In orbit, Crewed flight with three cosmonauts.","Operational, Crewed flight with three cosmonauts.",,
23 December 01:26:22[110]-2017,"7075, 7076",H-IIA 202,"GCOM-C, SLATS",JAXA,"LEO (SSO), LEO","Earth observation, Atmospheric sciences Technology demonstration","In orbit, 1 October 2019","Operational, Successful",,
23 December 01:27:23[75]-2017,"7078, 7079",Falcon 9 Full Thrust,"Iridium NEXT 31–40, Re-using a first-stage booster.[111] This rocket flew in its expendable configuration so the first-stage booster was not recovered[112]","Iridium, Re-using a first-stage booster.[111] This rocket flew in its expendable configuration so the first-stage booster was not recovered[112]","LEO, Re-using a first-stage booster.[111] This rocket flew in its expendable configuration so the first-stage booster was not recovered[112]","Communications, Re-using a first-stage booster.[111] This rocket flew in its expendable configuration so the first-stage booster was not recovered[112]","In orbit, Re-using a first-stage booster.[111] This rocket flew in its expendable configuration so the first-stage booster was not recovered[112]","Operational, Re-using a first-stage booster.[111] This rocket flew in its expendable configuration so the first-stage booster was not recovered[112]",,
23 December 04:14[113]-2017,7081,Long March 2D,LKW-2,CAS,LEO,Earth observation,In orbit,Operational,,
25 December 19:44-2017,"7083, 7084, 7085",Long March 2C,"Yaogan-30 G, Yaogan-30 H, Yaogan-30 J",CAS,LEO,Technology demonstration,In orbit,Operational,,
26 December 19:00:03-2017,"7087, 7088",Zenit-3F / Fregat-SB,"AngoSat 1, First satellite of Angola. Launch was successful but contact was lost quickly afterwards.[114] On 28 December 2017, communication was temporarily restored and telemetry was received.[115]","Republic of Angola, First satellite of Angola. Launch was successful but contact was lost quickly afterwards.[114] On 28 December 2017, communication was temporarily restored and telemetry was received.[115]","GEO, First satellite of Angola. Launch was successful but contact was lost quickly afterwards.[114] On 28 December 2017, communication was temporarily restored and telemetry was received.[115]","Communications, First satellite of Angola. Launch was successful but contact was lost quickly afterwards.[114] On 28 December 2017, communication was temporarily restored and telemetry was received.[115]","In orbit, First satellite of Angola. Launch was successful but contact was lost quickly afterwards.[114] On 28 December 2017, communication was temporarily restored and telemetry was received.[115]","Spacecraft failure[117], First satellite of Angola. Launch was successful but contact was lost quickly afterwards.[114] On 28 December 2017, communication was temporarily restored and telemetry was received.[115]",,
7 January 02:19:21[21][22]-2020,7092,Falcon 9 Block 5,Starlink × 60,SpaceX,LEO,Communications,In orbit,Operational,,
7 January 15:20:14[24][25]-2020,7094,Long March 3B/E,TJS 5 (Huoyan-1 02),Ministry of Agriculture and Rural Affairs,GEO,Early warning,In orbit,Operational,,
15 January 02:53:04[27]-2020,"7096, 7097, 7098, 7099",Long March 2D,"Jilin-1 Kuanfu-01 (Hongqi-1 H9), ÑuSat 7 (Aleph-1 07/Sophie), ÑuSat 8 (Aleph-1 08/Marie), Tianqi 5 (Xinzhou/Yunjiang)[29]","Chang Guang Satellite Technology, Satellogic, Guodian Gaoke",LEO (SSO),"Earth observation, Technology demonstration","In orbit, 3 October 2023[28]","Operational, Successful",,
16 January 03:02[30]-2020,7101,Kuaizhou-1A,Yinhe 1 (GS-SparkSat-03/Galaxy-1)[32],Galaxy Space,LEO (SSO),Technology demonstration,In orbit,Operational,,
16 January 21:05[33]-2020,"7103, 7104, 7105",Ariane 5 ECA+,"Eutelsat Konnect[34], GSAT-30, GSAT-30 will replace INSAT-4A.","Eutelsat, ISRO, GSAT-30 will replace INSAT-4A.","GEO, GSAT-30 will replace INSAT-4A.","Communications, GSAT-30 will replace INSAT-4A.","In orbit, GSAT-30 will replace INSAT-4A.","Operational, GSAT-30 will replace INSAT-4A.",,
29 January 14:06:49[35][36]-2020,7107,Falcon 9 Block 5,Starlink × 60,SpaceX,LEO,Communications,In orbit,Operational,,
31 January 02:56[37]-2020,"7109, 7110",Electron,"USA-294 (RASR-1), NROL-151 Mission. First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.","NRO, NROL-151 Mission. First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.","LEO, NROL-151 Mission. First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.","Reconnaissance, NROL-151 Mission. First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.","In orbit, NROL-151 Mission. First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.","Operational, NROL-151 Mission. First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.",,
6 February 21:42:41[38][39]-2020,"7113, 7114",Soyuz-2.1b / Fregat,"OneWeb × 34, Second OneWeb mission. Baikonur flight 1.","OneWeb, Second OneWeb mission. Baikonur flight 1.",LEO,"Communications, Second OneWeb mission. Baikonur flight 1.","In orbit, Second OneWeb mission. Baikonur flight 1.","Operational, Second OneWeb mission. Baikonur flight 1.",,Second OneWeb mission. Baikonur flight 1.
9 February 01:34 [41]-2020,7116,H-IIA 202,IGS-Optical 7,CSICE,LEO (SSO),Reconnaissance,In orbit,Operational,,
9 February 15:45 [43]-2020,"7118, 7119",Simorgh,"Zafar 1[44], Satellite failed to reach orbit.","IUST, Satellite failed to reach orbit.","LEO, Satellite failed to reach orbit.","Earth observation, Satellite failed to reach orbit.","9 February, Satellite failed to reach orbit.","Launch failure, Satellite failed to reach orbit.",,
10 February 04:03 [45]-2020,7121,Atlas V 411,Solar Orbiter,ESA,Heliocentric,Heliophysics,In orbit,Operational,,
15 February 20:21:04 [51]-2020,"7123, 7124, 7125, 7126, 7127, 7128",Antares 230+,"Cygnus NG-13 S.S. Robert H. Lawrence, Red-Eye 2 (Merlot), Red-Eye 3 (Cabernet), ⚀ DeMi, ⚀ TechEdSat-10 (TES-10)[55], Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date.[47] Red-Eye 2 was deployed into orbit from ISS on 17 June 2020.[48] Red-Eye 3 was deployed into orbit on 23 June 2020.[49] DeMi and TechEdSat-10 were deployed on 13 July.[50]","NASA, DARPA, MIT, Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date.[47] Red-Eye 2 was deployed into orbit from ISS on 17 June 2020.[48] Red-Eye 3 was deployed into orbit on 23 June 2020.[49] DeMi and TechEdSat-10 were deployed on 13 July.[50]","LEO (ISS), LEO, Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date.[47] Red-Eye 2 was deployed into orbit from ISS on 17 June 2020.[48] Red-Eye 3 was deployed into orbit on 23 June 2020.[49] DeMi and TechEdSat-10 were deployed on 13 July.[50]","ISS logistics, Technology demonstration, Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date.[47] Red-Eye 2 was deployed into orbit from ISS on 17 June 2020.[48] Red-Eye 3 was deployed into orbit on 23 June 2020.[49] DeMi and TechEdSat-10 were deployed on 13 July.[50]","29 May, 16 November 2022[52], 16 November 2022[53], 8 March 2022[54], 15 March 2021, Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date.[47] Red-Eye 2 was deployed into orbit from ISS on 17 June 2020.[48] Red-Eye 3 was deployed into orbit on 23 June 2020.[49] DeMi and TechEdSat-10 were deployed on 13 July.[50]","Successful, Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date.[47] Red-Eye 2 was deployed into orbit from ISS on 17 June 2020.[48] Red-Eye 3 was deployed into orbit on 23 June 2020.[49] DeMi and TechEdSat-10 were deployed on 13 July.[50]",,
17 February 15:05:55[56]-2020,7130,Falcon 9 Block 5,Starlink × 60,SpaceX,LEO,Communications,In orbit,Operational,,
18 February 22:18[57]-2020,"7132, 7133",Ariane 5 ECA,"JCSAT-17[59], Chollian-2B[60][61]","JSAT, KARI",GEO,"Communications, Ocean monitoring",In orbit,Operational,,
19 February 21:07[62][63]-2020,"7135, 7136, 7137, 7138, 7139",Long March 2D,"XJS-C, XJS-D, XJS-E, XJS-F, First Long March 2D launch from Xichang.","SAST, HIT, CAST, First Long March 2D launch from Xichang.","LEO, First Long March 2D launch from Xichang.","Technology demonstration, First Long March 2D launch from Xichang.","13 July 2023[65], 4 June 2024[66], In orbit, First Long March 2D launch from Xichang.","Successful, Operational, First Long March 2D launch from Xichang.",,
20 February 08:24:54[67][68]-2020,7141,Soyuz-2.1a / Fregat-M,Meridian-M 9 (19L)[69],Ministry of Defence,Molniya,Communications,In orbit,Operational,,
7 March 04:50:31[74]-2020,"7144, 7145, 7146, 7147, 7148",Falcon 9 Block 5,"SpaceX CRS-20, ⚀ G-SATELLITE, ⚀ Quetzal-1 (Guatesat-1)[77], ⚀ Lynk-04 (Lynk the World)[79][80], ","NASA, TOCOG / University of Tokyo, UVG, Lynk Global, Final flight of Dragon 1. G-SATELLITE (Gundam Satellite) carries two miniature Gundam figurines (gunpla) to promote the Tokyo 2020 Summer Olympics. Quetzal-1 is Guatemala's first satellite.[70] G-SATELLITE and Quetzal-1 were deployed into orbit from the ISS on 28 April 2020.[71][72] Lynk the World, Lynk's fourth satellite, was launched to the ISS on this flight and deployed into space by the Cygnus NG-13 spacecraft on 13 May.[73]","LEO (ISS), LEO, Final flight of Dragon 1. G-SATELLITE (Gundam Satellite) carries two miniature Gundam figurines (gunpla) to promote the Tokyo 2020 Summer Olympics. Quetzal-1 is Guatemala's first satellite.[70] G-SATELLITE and Quetzal-1 were deployed into orbit from the ISS on 28 April 2020.[71][72] Lynk the World, Lynk's fourth satellite, was launched to the ISS on this flight and deployed into space by the Cygnus NG-13 spacecraft on 13 May.[73]","ISS logistics, Space advertising, Technology demonstration, Final flight of Dragon 1. G-SATELLITE (Gundam Satellite) carries two miniature Gundam figurines (gunpla) to promote the Tokyo 2020 Summer Olympics. Quetzal-1 is Guatemala's first satellite.[70] G-SATELLITE and Quetzal-1 were deployed into orbit from the ISS on 28 April 2020.[71][72] Lynk the World, Lynk's fourth satellite, was launched to the ISS on this flight and deployed into space by the Cygnus NG-13 spacecraft on 13 May.[73]","7 April 18:50, 18 April 2022[76], 1 March 2022[78], In orbit, Final flight of Dragon 1. G-SATELLITE (Gundam Satellite) carries two miniature Gundam figurines (gunpla) to promote the Tokyo 2020 Summer Olympics. Quetzal-1 is Guatemala's first satellite.[70] G-SATELLITE and Quetzal-1 were deployed into orbit from the ISS on 28 April 2020.[71][72] Lynk the World, Lynk's fourth satellite, was launched to the ISS on this flight and deployed into space by the Cygnus NG-13 spacecraft on 13 May.[73]","Successful[75], Successful, Operational, Final flight of Dragon 1. G-SATELLITE (Gundam Satellite) carries two miniature Gundam figurines (gunpla) to promote the Tokyo 2020 Summer Olympics. Quetzal-1 is Guatemala's first satellite.[70] G-SATELLITE and Quetzal-1 were deployed into orbit from the ISS on 28 April 2020.[71][72] Lynk the World, Lynk's fourth satellite, was launched to the ISS on this flight and deployed into space by the Cygnus NG-13 spacecraft on 13 May.[73]",Final flight,
9 March 11:55[81]-2020,7150,Long March 3B/E,BeiDou-3 G2Q[82],CNSA,GEO,Navigation,In orbit,Operational,,
16 March 13:34[83][84]-2020,"7152, 7153",Long March 7A,"Xinjishu Yanzheng-6 (XJY-6), ","TBA, First flight of Long March 7A. Failed to reach orbit.","GEO, First flight of Long March 7A. Failed to reach orbit.","Technology demonstration, First flight of Long March 7A. Failed to reach orbit.","16 March, First flight of Long March 7A. Failed to reach orbit.","Launch failure, First flight of Long March 7A. Failed to reach orbit.",First flight,
16 March 18:28:10[85]-2020,7155,Soyuz-2.1b / Fregat-M,GLONASS-M 760 (Kosmos 2545),VKS,MEO,Navigation,In orbit,Operational,,
18 March 12:16:39[86]-2020,"7157, 7158",Falcon 9 Block 5,"Starlink × 60, Fifth flight of booster B1048; recovery was not successful.","SpaceX, Fifth flight of booster B1048; recovery was not successful.","LEO, Fifth flight of booster B1048; recovery was not successful.","Communications, Fifth flight of booster B1048; recovery was not successful.","In orbit, Fifth flight of booster B1048; recovery was not successful.","Operational, Fifth flight of booster B1048; recovery was not successful.",,
21 March 17:06:58[87]-2020,"7160, 7161",Soyuz-2.1b / Fregat,"OneWeb × 34, Baikonur flight 2.","OneWeb, Baikonur flight 2.",LEO,"Communications, Baikonur flight 2.","In orbit, Baikonur flight 2.","Operational, Baikonur flight 2.",,Baikonur flight 2.
24 March 03:43[89]-2020,"7163, 7164, 7165",Long March 2C,"Yaogan 30-06 01, Yaogan 30-06 02, Yaogan 30-06 03",CAS,LEO,Reconnaissance,In orbit,Operational,,
26 March 20:18[92]-2020,"7167, 7168, 7169",Atlas V 551,"AEHF-6 (USA-298)[93], ⚀ TDO-2[94], The TDO-2 Cubesat was also known as OrCa (Orbital Calibration) by the team which designed it at Georgia Tech.[91]","U.S. Space Force, The TDO-2 Cubesat was also known as OrCa (Orbital Calibration) by the team which designed it at Georgia Tech.[91]","GEO, Highly elliptical, The TDO-2 Cubesat was also known as OrCa (Orbital Calibration) by the team which designed it at Georgia Tech.[91]","Military communications, Laser ranging, The TDO-2 Cubesat was also known as OrCa (Orbital Calibration) by the team which designed it at Georgia Tech.[91]","In orbit, 28 September 2022[95], The TDO-2 Cubesat was also known as OrCa (Orbital Calibration) by the team which designed it at Georgia Tech.[91]","Operational, Successful, The TDO-2 Cubesat was also known as OrCa (Orbital Calibration) by the team which designed it at Georgia Tech.[91]",,
9 April 08:05:06[96]-2020,"7172, 7173",Soyuz-2.1a,"Soyuz MS-16, First crewed flight of Soyuz-2.1a.","Roscosmos, First crewed flight of Soyuz-2.1a.","LEO (ISS), First crewed flight of Soyuz-2.1a.","Expedition 62/63, First crewed flight of Soyuz-2.1a.","22 October 02:31, First crewed flight of Soyuz-2.1a.","Successful, First crewed flight of Soyuz-2.1a.",,
9 April 11:46[98]-2020,"7175, 7176",Long March 3B/E,"Nusantara Dua (Palapa-N1), Intended to replace Palapa-D. Failed to reach orbit.[97]","PSN / Indosat, Intended to replace Palapa-D. Failed to reach orbit.[97]","GEO, Intended to replace Palapa-D. Failed to reach orbit.[97]","Communications, Intended to replace Palapa-D. Failed to reach orbit.[97]","9 April, Intended to replace Palapa-D. Failed to reach orbit.[97]","Launch failure, Intended to replace Palapa-D. Failed to reach orbit.[97]",,
22 April 03:59[99]-2020,7178,Qased,⚀ Noor 1[100],IRGC,LEO,Reconnaissance,13 April 2022[101],Successful,,
22 April 19:30:30[102]-2020,7181,Falcon 9 Block 5,Starlink × 60,SpaceX,LEO,Communications,In orbit,Operational,,
25 April 01:51:41[103]-2020,7183,Soyuz-2.1a,Progress MS-14 / 75P,Roscosmos,LEO (ISS),ISS logistics,29 April 2021 00:42:27[104],Successful,,
5 May 10:00[10]-2020,"7186, 7187, 7188",Long March 5B,"Chinese next-generation crewed spacecraft, Flexible Inflatable Cargo Return Module[109], ","CMSA, CASIC, First flight of Long March 5B, testing a new crewed spacecraft.[11] The capsule successfully returned to Earth on 8 May, following on-orbit testing.[105][106] An experimental secondary payload, meant to test inflatable heat shield reentry technologies, malfunctioned during its return to Earth on 6 May.[107]","Highly elliptical, LEO, First flight of Long March 5B, testing a new crewed spacecraft.[11] The capsule successfully returned to Earth on 8 May, following on-orbit testing.[105][106] An experimental secondary payload, meant to test inflatable heat shield reentry technologies, malfunctioned during its return to Earth on 6 May.[107]","Flight test, Technology demonstration, First flight of Long March 5B, testing a new crewed spacecraft.[11] The capsule successfully returned to Earth on 8 May, following on-orbit testing.[105][106] An experimental secondary payload, meant to test inflatable heat shield reentry technologies, malfunctioned during its return to Earth on 6 May.[107]","8 May 05:49, 6 May, First flight of Long March 5B, testing a new crewed spacecraft.[11] The capsule successfully returned to Earth on 8 May, following on-orbit testing.[105][106] An experimental secondary payload, meant to test inflatable heat shield reentry technologies, malfunctioned during its return to Earth on 6 May.[107]","Successful, Spacecraft failure, First flight of Long March 5B, testing a new crewed spacecraft.[11] The capsule successfully returned to Earth on 8 May, following on-orbit testing.[105][106] An experimental secondary payload, meant to test inflatable heat shield reentry technologies, malfunctioned during its return to Earth on 6 May.[107]",First flight,
12 May 01:16[110]-2020,"7190, 7191, 7192",Kuaizhou 1A,"Xingyun-2 01, Xingyun-2 02, Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.[110]","Xingyun Satellite Co., Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.[110]","LEO (SSO), Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.[110]","IoT, Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.[110]","In orbit, Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.[110]","Operational, Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.[110]",,
17 May 13:14:00[112][113]-2020,"7194, 7195, 7196",Atlas V 501,"X-37B OTV-6, FalconSAT-8, USSF-7 mission.","U.S. Space Force, U.S. Air Force Academy, USSF-7 mission.","LEO, USSF-7 mission.","Technology demonstration, USSF-7 mission.","12 November 2022 10:22[114], In orbit, USSF-7 mission.","Successful, Operational, USSF-7 mission.",,
20 May 17:31:00[115]-2020,"7198, 7199",H-IIB,"HTV-9, Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively.","JAXA, Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively.","LEO (ISS), Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively.","ISS logistics, Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively.","20 August 07:07, Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively.","Successful, Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively.",,
22 May 07:31:17[116][117]-2020,7201,Soyuz-2.1b / Fregat,EKS-4 (Tundra 14L)[118],VKS,Molniya,Early warning,In orbit,Operational,,
25 May 19:50[119]-2020,"7203, 7204, 7205",LauncherOne,"Dummy payload, Starshine 4[121], First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.[119][120]","Virgin Orbit, NASA, First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.[119][120]","LEO, First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.[119][120]","Flight test, Education, First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.[119][120]","25 May, First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.[119][120]","Launch failure, First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.[119][120]",,
29 May 20:13[122][123]-2020,"7207, 7208",Long March 11,"XJS-G, XJS-H","CAS, NUDT",LEO,Technology demonstration,In orbit,Operational,,
30 May 19:22:45[127][128]-2020,"7210, 7211",Falcon 9 Block 5,"SpX-DM2 Endeavour, Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission successfully concluded on 2 August after two months in space.[125] First crewed orbital spaceflight with a private spacecraft.[126]","SpaceX / NASA, Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission successfully concluded on 2 August after two months in space.[125] First crewed orbital spaceflight with a private spacecraft.[126]","LEO (ISS), Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission successfully concluded on 2 August after two months in space.[125] First crewed orbital spaceflight with a private spacecraft.[126]","Expedition 63 / Crewed flight test, Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission successfully concluded on 2 August after two months in space.[125] First crewed orbital spaceflight with a private spacecraft.[126]","2 August 18:48, Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission successfully concluded on 2 August after two months in space.[125] First crewed orbital spaceflight with a private spacecraft.[126]","Successful, Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission successfully concluded on 2 August after two months in space.[125] First crewed orbital spaceflight with a private spacecraft.[126]",,
31 May 08:53[129][130]-2020,"7213, 7214",Long March 2D,"Gaofen-9 02[131], HEAD-4[132]","CNSA, HEAD Aerospace",LEO (SSO),"Earth observation, AIS ship tracking",In orbit,Operational,,
4 June 01:25:33[21][133]-2020,"7217, 7218",Falcon 9 Block 5,"Starlink × 60, Fifth flight of booster B1049; recovery was successful (first booster to be recovered after 5th flight).","SpaceX, Fifth flight of booster B1049; recovery was successful (first booster to be recovered after 5th flight).","LEO, Fifth flight of booster B1049; recovery was successful (first booster to be recovered after 5th flight).","Communications, Fifth flight of booster B1049; recovery was successful (first booster to be recovered after 5th flight).","In orbit, Fifth flight of booster B1049; recovery was successful (first booster to be recovered after 5th flight).","Operational, Fifth flight of booster B1049; recovery was successful (first booster to be recovered after 5th flight).",,
10 June 18:31:24[134][135]-2020,7220,Long March 2C,HaiYang 1D,Ministry of Natural Resources,LEO (SSO),Earth observation,In orbit,Operational,,
13 June 05:12:12[141]-2020,"7222, 7223, 7224, 7225, 7226, 7227, 7228",Electron,"Photon (Pathfinder)[143], ⚀ ANDESITE Mule + Node × 8[139], ⚀ USA-301[144], ⚀ USA-302[144], ⚀ USA-303[144], ⚀ M2 Pathfinder, Launch of the ELaNa 32 mission,[136] plus additional payloads.[137] ANDESITE will conduct magnetospheric research using an experimental fractionated formation of eight picosatellites, to be deployed after reaching orbit.[138][139] Three NRO payloads were deployed as part of RASR-2.[140]","Rocket Lab, Boston University, NRO, UNSW Canberra, RAAF, Launch of the ELaNa 32 mission,[136] plus additional payloads.[137] ANDESITE will conduct magnetospheric research using an experimental fractionated formation of eight picosatellites, to be deployed after reaching orbit.[138][139] Three NRO payloads were deployed as part of RASR-2.[140]","LEO, Launch of the ELaNa 32 mission,[136] plus additional payloads.[137] ANDESITE will conduct magnetospheric research using an experimental fractionated formation of eight picosatellites, to be deployed after reaching orbit.[138][139] Three NRO payloads were deployed as part of RASR-2.[140]","Flight test, Auroral science Technology demonstration, Reconnaissance, Technology demonstration, Launch of the ELaNa 32 mission,[136] plus additional payloads.[137] ANDESITE will conduct magnetospheric research using an experimental fractionated formation of eight picosatellites, to be deployed after reaching orbit.[138][139] Three NRO payloads were deployed as part of RASR-2.[140]","In orbit, Launch of the ELaNa 32 mission,[136] plus additional payloads.[137] ANDESITE will conduct magnetospheric research using an experimental fractionated formation of eight picosatellites, to be deployed after reaching orbit.[138][139] Three NRO payloads were deployed as part of RASR-2.[140]","Operational, Launch of the ELaNa 32 mission,[136] plus additional payloads.[137] ANDESITE will conduct magnetospheric research using an experimental fractionated formation of eight picosatellites, to be deployed after reaching orbit.[138][139] Three NRO payloads were deployed as part of RASR-2.[140]",,
13 June 09:21:18[145]-2020,"7230, 7231, 7232",Falcon 9 Block 5,"Starlink × 58, SkySat 16–18[146], First SmallSat Rideshare mission launch.","SpaceX, Planet Labs, First SmallSat Rideshare mission launch.","LEO, First SmallSat Rideshare mission launch.","Communications, Earth observation, First SmallSat Rideshare mission launch.","In orbit, First SmallSat Rideshare mission launch.","Operational, First SmallSat Rideshare mission launch.",,
17 June 07:19[147][148]-2020,"7234, 7235, 7236",Long March 2D,"Gaofen-9 03[131], HEAD-5, Pixing-3A","CNSA, HEAD Aerospace, Zhejiang University",LEO (SSO),"Earth observation, AIS ship tracking, Technology demonstration",In orbit,Operational,,
23 June 01:43[150][151]-2020,"7238, 7239",Long March 3B/E,"BeiDou-3 G3Q[82], Last satellite of the BeiDou-3 constellation to be launched, completing the BeiDou Navigation Satellite System.[149]","CNSA, Last satellite of the BeiDou-3 constellation to be launched, completing the BeiDou Navigation Satellite System.[149]","GEO, Last satellite of the BeiDou-3 constellation to be launched, completing the BeiDou Navigation Satellite System.[149]","Navigation, Last satellite of the BeiDou-3 constellation to be launched, completing the BeiDou Navigation Satellite System.[149]","In orbit, Last satellite of the BeiDou-3 constellation to be launched, completing the BeiDou Navigation Satellite System.[149]","Operational, Last satellite of the BeiDou-3 constellation to be launched, completing the BeiDou Navigation Satellite System.[149]",,
30 June 20:10:46[153][154]-2020,"7241, 7242",Falcon 9 Block 5,"GPS IIIA-03 Matthew Henson, Named after African-American polar explorer Matthew Henson. Originally named Columbus.[152]","U.S. Space Force, Named after African-American polar explorer Matthew Henson. Originally named Columbus.[152]","MEO, Named after African-American polar explorer Matthew Henson. Originally named Columbus.[152]","Navigation, Named after African-American polar explorer Matthew Henson. Originally named Columbus.[152]","In orbit, Named after African-American polar explorer Matthew Henson. Originally named Columbus.[152]","Operational, Named after African-American polar explorer Matthew Henson. Originally named Columbus.[152]",,
3 July 03:10[155][156]-2020,"7245, 7246",Long March 4B,"Gaofen DUOMO (Multi-Mode), Xibaipo (BY70-2)","CAST, Luquan No.1 Middle School",LEO (SSO),"Earth observation, Popular science",In orbit,Operational,,
