Rocket,Payload,Operator,Orbit,Function,Decay,FlightNumberInfo,LaunchSite,Success,Rocket_ID,Year,Month,DayOfWeek,Hour
Long March 2C,Shijian 11-08,CNSA,LEO (SSO),Technology demonstration,In orbit,,,1,151,2014.0,10.0,0.0,6.0
Antares 130,Cygnus CRS Orb-3 S.S. Deke Slayton,NASA,Intended: LEO (ISS),ISS logistics,T+15 seconds,,,0,4,2014.0,10.0,1.0,22.0
Antares 130,First stage failure; rocket crashed near launch pad; estimated US$20 million in repairs to rebuild Pad 0A.[15] Only flight of Antares 130.,First stage failure; rocket crashed near launch pad; estimated US$20 million in repairs to rebuild Pad 0A.[15] Only flight of Antares 130.,First stage failure; rocket crashed near launch pad; estimated US$20 million in repairs to rebuild Pad 0A.[15] Only flight of Antares 130.,First stage failure; rocket crashed near launch pad; estimated US$20 million in repairs to rebuild Pad 0A.[15] Only flight of Antares 130.,First stage failure; rocket crashed near launch pad; estimated US$20 million in repairs to rebuild Pad 0A.[15] Only flight of Antares 130.,,,0,4,2014.0,10.0,1.0,22.0
Soyuz-2.1a,Progress M-25M / 57P,Roskosmos,LEO (ISS),ISS logistics,26 April 2015,,,1,275,2014.0,10.0,2.0,7.0
Atlas V 401,USA-258 (GPS IIF-8),U.S. Air Force,MEO,Navigation,In orbit,,,1,44,2014.0,10.0,2.0,17.0
Atlas V 401,Named after Star Spica.,Named after Star Spica.,Named after Star Spica.,Named after Star Spica.,Named after Star Spica.,,,0,44,2014.0,10.0,2.0,17.0
Soyuz-2.1a / Fregat,Meridian 7,VKO,Molniya,Communications,In orbit,,,1,276,2014.0,10.0,3.0,1.0
Dnepr,Asnaro-1 (Sasuke),USEF,LEO (SSO),Remote sensing,In orbit,,,1,111,2014.0,11.0,3.0,7.0
Dnepr,ChubuSat 1 (Kinshachi 1),Nagoya University,LEO (SSO),Technology demonstration,3 December 2023,,,1,111,2014.0,11.0,3.0,7.0
Dnepr,Hodoyoshi 1,University of Tokyo,LEO (SSO),Gamma-ray astronomy,3 December 2023,,,1,111,2014.0,11.0,3.0,7.0
Dnepr,QSAT-EOS (Tsukushi),Kyushu University,LEO (SSO),Gamma-ray astronomy,3 December 2023,,,1,111,2014.0,11.0,3.0,7.0
Dnepr,TSUBAME,TIT / JAXA,LEO (SSO),Gamma-ray astronomy,3 December 2023,,,1,111,2014.0,11.0,3.0,7.0
Long March 2C,Yaogan 23,CAST,LEO (SSO),Reconnaissance,In orbit,,,1,151,2014.0,11.0,4.0,18.0
Long March 2D,Yaogan 24,CAST,LEO (SSO),Reconnaissance,In orbit,,,1,154,2014.0,11.0,3.0,7.0
Kuaizhou-1,Kuaizhou-2,CAS,LEO (SSO),Optical imaging,9 October 2016,,,1,145,2014.0,11.0,4.0,6.0
Soyuz-FG,Soyuz TMA-15M,Roskosmos,LEO (ISS),Expedition 42 / 43,11 June 2015 13:44,,,1,283,2014.0,11.0,6.0,21.0
Soyuz-FG,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,,,0,283,2014.0,11.0,6.0,21.0
Soyuz-2.1b / Fregat,Kosmos 2501 (GLONASS-K 702),VKO,MEO,Navigation,In orbit,,,1,281,2014.0,11.0,6.0,21.0
H-IIA 202,Hayabusa2,JAXA,Heliocentric,Asteroid sample return,In orbit,,,1,132,2014.0,12.0,2.0,4.0
H-IIA 202,DCAM3,DLR / CNES,Heliocentric (162173 Ryugu),Asteroid probe,DCAM3,,,1,132,2014.0,12.0,2.0,4.0
H-IIA 202,MINERVA-II-1 Rover 1A,Kyutech,DCAM3,Asteroid lander,MINERVA-II (Rover 1A,,,0,132,2014.0,12.0,2.0,4.0
H-IIA 202,MINERVA-II-1 Rover 1B,Tamabi / UT,MINERVA-II (Rover 1A,Technology demonstration,1B,,,0,132,2014.0,12.0,2.0,4.0
H-IIA 202,MINERVA-II Rover 2,UT,1B,Technology demonstration / Asteroid flyby,2),,,0,132,2014.0,12.0,2.0,4.0
H-IIA 202,MASCOT,DCAM3,2),DCAM3,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,,,0,132,2014.0,12.0,2.0,4.0
H-IIA 202,Shin'en 2,MINERVA-II (Rover 1A,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,MINERVA-II (Rover 1A,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,,,0,132,2014.0,12.0,2.0,4.0
H-IIA 202,Despatch (Artsat 2),1B,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,1B,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,,,0,132,2014.0,12.0,2.0,4.0
H-IIA 202,PROCYON,2),and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,2),and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,,,0,132,2014.0,12.0,2.0,4.0
H-IIA 202,DCAM3,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,,,0,132,2014.0,12.0,2.0,4.0
H-IIA 202,MINERVA-II (Rover 1A,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,,,0,132,2014.0,12.0,2.0,4.0
H-IIA 202,1B,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,,,0,132,2014.0,12.0,2.0,4.0
H-IIA 202,2),and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,,,0,132,2014.0,12.0,2.0,4.0
H-IIA 202,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.,,,0,132,2014.0,12.0,2.0,4.0
Delta IV Heavy,EFT-1,NASA,HEO,Technology demonstration,5 December 2014 16:29,,,1,96,2014.0,12.0,4.0,12.0
Delta IV Heavy,First test flight of Orion spacecraft,First test flight of Orion spacecraft,First test flight of Orion spacecraft,First test flight of Orion spacecraft,First test flight of Orion spacecraft,,,0,96,2014.0,12.0,4.0,12.0
Ariane 5 ECA,DirecTV-14,DirecTV,GEO,Communications,In orbit,,,1,19,2014.0,12.0,5.0,20.0
Ariane 5 ECA,GSAT-16,ISRO,GEO,Communications,In orbit,,,1,19,2014.0,12.0,5.0,20.0
Long March 4B,CBERS-4,CASC / INPE,LEO (SSO),Remote sensing,In orbit,,,1,173,2014.0,12.0,6.0,3.0
Long March 4C,Yaogan 25A,CAST,LEO,ELINT,In orbit,,,1,175,2014.0,12.0,2.0,19.0
Long March 4C,Yaogan 25B,CAST,LEO,ELINT,In orbit,,,1,175,2014.0,12.0,2.0,19.0
Long March 4C,Yaogan 25C,CAST,LEO,ELINT,In orbit,,,1,175,2014.0,12.0,2.0,19.0
Atlas V 541,USA-259 (NRO L-35),NRO,Molniya,ELINT,In orbit,,,1,52,2014.0,12.0,5.0,3.0
Atlas V 541,NRO Launch 35,NRO Launch 35,NRO Launch 35,NRO Launch 35,NRO Launch 35,,,0,52,2014.0,12.0,5.0,3.0
Proton-M / Briz-M,Yamal-401,Gazprom Space Systems,GEO,Communications,In orbit,,,1,236,2014.0,12.0,0.0,0.0
Soyuz-STB / Fregat,O3b FM9,O3b Networks,MEO,Communications,In orbit,,,1,287,2014.0,12.0,3.0,18.0
Soyuz-STB / Fregat,O3b FM10,O3b Networks,MEO,Communications,In orbit,,,1,287,2014.0,12.0,3.0,18.0
Soyuz-STB / Fregat,O3b FM11,O3b Networks,MEO,Communications,In orbit,,,1,287,2014.0,12.0,3.0,18.0
Soyuz-STB / Fregat,O3b FM12,O3b Networks,MEO,Communications,In orbit,,,1,287,2014.0,12.0,3.0,18.0
Strela,Kondor-E,Roskosmos / DoD,LEO,Synthetic-aperture radar imaging,22 October 2022[16],,,1,313,2014.0,12.0,4.0,4.0
Angara A5 / Briz-M,IPM №1 (MGM №1),Khrunichev,GEO[17],Test flight,In orbit,,,1,1,2014.0,12.0,1.0,5.0
Soyuz-2.1b,Kosmos 2502 (Lotos-S),VKO,LEO,ELINT,In orbit,,,1,280,2014.0,12.0,3.0,3.0
Soyuz-2.1b,Resurs-P No.2,Roskosmos,LEO (SSO),Remote sensing,In orbit,,,1,280,2014.0,12.0,4.0,18.0
Long March 4B,Yaogan 26,CAST,LEO (SSO),Reconnaissance,In orbit,,,1,173,2014.0,12.0,5.0,3.0
Proton-M / Briz-M,Astra 2G,SES S.A.,GEO,Communications,In orbit,,,1,236,2014.0,12.0,5.0,21.0
Long March 3A,Fengyun 2G,CMA,GEO,Meteorology,In orbit,,,1,161,2014.0,12.0,2.0,1.0
Falcon 9 v1.1,SpaceX CRS-5,NASA,LEO (ISS),ISS resupply,11 February 2015 00:44,,,1,122,2015.0,1.0,5.0,9.0
Falcon 9 v1.1,⚀ AESP-14,ITA,LEO,Ionospheric research,11 May 2015,,,0,122,2015.0,1.0,5.0,9.0
Falcon 9 v1.1,⚀ Flock-1d' 1,Planet Labs,SpaceX attempted to land the first stage on a platform in the Atlantic Ocean,Earth observation,13 October 2015,,,0,122,2015.0,1.0,5.0,9.0
Falcon 9 v1.1,⚀ Flock-1d' 2,SpaceX attempted to land the first stage on a platform in the Atlantic Ocean,"but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]",SpaceX attempted to land the first stage on a platform in the Atlantic Ocean,27 December 2015,,,0,122,2015.0,1.0,5.0,9.0
Falcon 9 v1.1,SpaceX attempted to land the first stage on a platform in the Atlantic Ocean,"but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]","but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]","but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]",SpaceX attempted to land the first stage on a platform in the Atlantic Ocean,,,0,122,2015.0,1.0,5.0,9.0
Falcon 9 v1.1,"but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]","but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]","but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]","but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]","but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]",,,0,122,2015.0,1.0,5.0,9.0
Atlas V 551,MUOS-3,US Navy,GEO,Communications,In orbit,,,1,53,2015.0,1.0,2.0,1.0
Delta II 7320,SMAP,NASA,LEO (SSO),Earth observation,In orbit,,,1,71,2015.0,1.0,5.0,14.0
Delta II 7320,⚀ ExoCube,Cal Poly,LEO (SSO),Technology demonstration,2 August 2023[4],,,1,71,2015.0,1.0,5.0,14.0
Delta II 7320,⚀ FIREBIRD II A,Montana State,LEO (SSO),Technology demonstration,2 August 2023[5],,,1,71,2015.0,1.0,5.0,14.0
Delta II 7320,⚀ FIREBIRD II B,NASA / JPL,LEO (SSO),Technology demonstration,2 August 2023[5],,,1,71,2015.0,1.0,5.0,14.0
Delta II 7320,⚀ GRIFEX,NASA / JPL,LEO (SSO),Technology demonstration,2 August 2023[5],,,1,71,2015.0,1.0,5.0,14.0
H-IIA 202,IGS-Radar Spare,CSICE,LEO (SSO),Reconnaissance,In orbit,,,1,132,2015.0,2.0,6.0,1.0
Proton-M/Briz-M,Inmarsat 5-F2,Inmarsat,GEO,Communications,In orbit,,,1,243,2015.0,2.0,6.0,12.0
Safir-1B,Fajr,ISA,LEO,Technology demonstration,26 February 2015,,,1,260,2015.0,2.0,0.0,8.0
Vega,IXV,ESA,Transatmospheric,Technology demonstration,11 February 2015 15:19,,,1,347,2015.0,2.0,2.0,13.0
Vega,Vega's 4th stage briefly entered low Earth orbit before de-orbiting; thus it did not get a COSPAR ID. This marked the first flight of the IXV,Vega's 4th stage briefly entered low Earth orbit before de-orbiting; thus it did not get a COSPAR ID. This marked the first flight of the IXV,Vega's 4th stage briefly entered low Earth orbit before de-orbiting; thus it did not get a COSPAR ID. This marked the first flight of the IXV,Vega's 4th stage briefly entered low Earth orbit before de-orbiting; thus it did not get a COSPAR ID. This marked the first flight of the IXV,Vega's 4th stage briefly entered low Earth orbit before de-orbiting; thus it did not get a COSPAR ID. This marked the first flight of the IXV,,,0,347,2015.0,2.0,2.0,13.0
Falcon 9 v1.1,DSCOVR,NOAA,Sun–Earth L1,Earth observation / Heliophysics,In orbit,,,1,122,2015.0,2.0,2.0,23.0
Falcon 9 v1.1,First SpaceX launch aimed beyond GTO. First stage soft landed on water.,First SpaceX launch aimed beyond GTO. First stage soft landed on water.,First SpaceX launch aimed beyond GTO. First stage soft landed on water.,First SpaceX launch aimed beyond GTO. First stage soft landed on water.,First SpaceX launch aimed beyond GTO. First stage soft landed on water.,,,0,122,2015.0,2.0,2.0,23.0
Soyuz-U,Progress M-26M / 58P,Roscosmos,LEO (ISS),ISS resupply,14 August 2015 14:17,,,1,288,2015.0,2.0,1.0,11.0
Soyuz-2.1a,Kosmos 2503 (Bars-M 1L),VKO,LEO (SSO),Reconnaissance,In orbit,,,1,275,2015.0,2.0,4.0,11.0
Falcon 9 v1.1,Eutelsat 115 West B,Eutelsat,GEO,Communications,In orbit,,,1,122,2015.0,3.0,0.0,3.0
Falcon 9 v1.1,ABS-3A,ABS,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,,,0,122,2015.0,3.0,0.0,3.0
Falcon 9 v1.1,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,,,0,122,2015.0,3.0,0.0,3.0
Atlas V 421,MMS-1,NASA,Elliptical High Earth,Magnetospheric research,In orbit,,,1,47,2015.0,3.0,4.0,2.0
Atlas V 421,MMS-2,NASA,Elliptical High Earth,Magnetospheric research,In orbit,,,1,47,2015.0,3.0,4.0,2.0
Atlas V 421,MMS-3,NASA,Elliptical High Earth,Magnetospheric research,In orbit,,,1,47,2015.0,3.0,4.0,2.0
Atlas V 421,MMS-4,NASA,Elliptical High Earth,Magnetospheric research,In orbit,,,1,47,2015.0,3.0,4.0,2.0
Proton-M / Briz-M,Ekspress AM7,RSCC,GEO,Communications,In orbit,,,1,236,2015.0,3.0,2.0,22.0
"Delta IV M+(4,2)",USA-260 (GPS IIF-9),US Air Force,MEO,Navigation,In orbit,,,1,102,2015.0,3.0,2.0,18.0
"Delta IV M+(4,2)",Named after Star Deneb.,Named after Star Deneb.,Named after Star Deneb.,Named after Star Deneb.,Named after Star Deneb.,,,0,102,2015.0,3.0,2.0,18.0
Dnepr,KOMPSat-3A,KARI,LEO (SSO),Earth observation,In orbit,Final flight,,1,111,2015.0,3.0,2.0,22.0
Dnepr,,Final flight of Dnepr-1 rocket,Final flight of Dnepr-1 rocket,Final flight of Dnepr-1 rocket,Final flight of Dnepr-1 rocket,Final flight,,0,111,2015.0,3.0,2.0,22.0
H-IIA 202,IGS-Optical 5,CSICE,LEO (SSO),Reconnaissance,In orbit,,,1,132,2015.0,3.0,3.0,1.0
Soyuz-FG,Soyuz TMA-16M,Roscosmos,LEO (ISS),Expedition 43/44/45/46,12 September 2015 00:51,,,1,283,2015.0,3.0,4.0,19.0
Soyuz-FG,Crewed flight with three cosmonauts,Crewed flight with three cosmonauts,Crewed flight with three cosmonauts,Crewed flight with three cosmonauts,Crewed flight with three cosmonauts,,,0,283,2015.0,3.0,4.0,19.0
Soyuz-FG,including two on a year-long mission.,including two on a year-long mission.,including two on a year-long mission.,including two on a year-long mission.,including two on a year-long mission.,,,0,283,2015.0,3.0,4.0,19.0
Soyuz-STB / Fregat,Galileo FOC 3,ESA,MEO,Navigation,In orbit,,,1,287,2015.0,3.0,4.0,21.0
Soyuz-STB / Fregat,Galileo FOC 4,ESA,MEO,Navigation,In orbit,,,1,287,2015.0,3.0,4.0,21.0
PSLV-XL,IRNSS-1D,ISRO,GEO,Navigation,In orbit,,,1,206,2015.0,3.0,5.0,11.0
Long March 3C/E/YZ-1,BeiDou I1-S,CNSA,GEO,Navigation,In orbit,,,1,170,2015.0,3.0,0.0,13.0
Rokot / Briz-KM,Gonets-M 11,Gonets Satellite System,LEO,Communications,In orbit,,,1,252,2015.0,3.0,1.0,13.0
Rokot / Briz-KM,Gonets-M 12,VKO,LEO,Technology demonstration / Satellite inspection (?),In orbit,,,1,252,2015.0,3.0,1.0,13.0
Rokot / Briz-KM,Gonets-M 13,VKO,LEO,Technology demonstration / Satellite inspection (?),In orbit,,,1,252,2015.0,3.0,1.0,13.0
Rokot / Briz-KM,Kosmos 2504,VKO,LEO,Technology demonstration / Satellite inspection (?),In orbit,,,1,252,2015.0,3.0,1.0,13.0
Falcon 9 v1.1,SpaceX CRS-6,NASA,LEO (ISS),ISS resupply,21 May 2015 16:42,,,1,122,2015.0,4.0,1.0,20.0
Falcon 9 v1.1,Arkyd 3 Reflight,Planetary Resources,LEO,Technology demonstration,23 December 2015,,,0,122,2015.0,4.0,1.0,20.0
Falcon 9 v1.1,⚀ Flock-1e × 14,Planet Labs,First stage recovery failed; the rocket stage landed on the target drone ship too fast,Earth observation,First: 8 February 2016 Last: 24 August 2016,,,0,122,2015.0,4.0,1.0,20.0
Falcon 9 v1.1,First stage recovery failed; the rocket stage landed on the target drone ship too fast,First stage recovery failed; the rocket stage landed on the target drone ship too fast,tipped over,First stage recovery failed; the rocket stage landed on the target drone ship too fast,First stage recovery failed; the rocket stage landed on the target drone ship too fast,,,0,122,2015.0,4.0,1.0,20.0
Falcon 9 v1.1,tipped over,tipped over,and exploded.[7] All secondary payloads were deployed from an ISS airlock later. Arkyd 3 Reflight is a replacement for Arkyd 3,tipped over,tipped over,,,0,122,2015.0,4.0,1.0,20.0
Falcon 9 v1.1,and exploded.[7] All secondary payloads were deployed from an ISS airlock later. Arkyd 3 Reflight is a replacement for Arkyd 3,and exploded.[7] All secondary payloads were deployed from an ISS airlock later. Arkyd 3 Reflight is a replacement for Arkyd 3,which was lost in the Cygnus CRS Orb-3 flight accident in 2014.,and exploded.[7] All secondary payloads were deployed from an ISS airlock later. Arkyd 3 Reflight is a replacement for Arkyd 3,and exploded.[7] All secondary payloads were deployed from an ISS airlock later. Arkyd 3 Reflight is a replacement for Arkyd 3,,,0,122,2015.0,4.0,1.0,20.0
Falcon 9 v1.1,which was lost in the Cygnus CRS Orb-3 flight accident in 2014.,which was lost in the Cygnus CRS Orb-3 flight accident in 2014.,which was lost in the Cygnus CRS Orb-3 flight accident in 2014.,which was lost in the Cygnus CRS Orb-3 flight accident in 2014.,which was lost in the Cygnus CRS Orb-3 flight accident in 2014.,,,0,122,2015.0,4.0,1.0,20.0
Ariane 5 ECA,Thor 7,Telenor,GEO,Communications,In orbit,,,1,19,2015.0,4.0,6.0,20.0
Ariane 5 ECA,SICRAL-2,MDD/DGA,GEO,Communications,In orbit,,,1,19,2015.0,4.0,6.0,20.0
Falcon 9 v1.1,TürkmenÄlem 52°E / MonacoSAT,Turkmen Telecom,GEO,Communications,In orbit,,,1,122,2015.0,4.0,0.0,23.0
Falcon 9 v1.1,First Turkmen satellite (not counting Turkmenistan Memorial Capsule).,First Turkmen satellite (not counting Turkmenistan Memorial Capsule).,First Turkmen satellite (not counting Turkmenistan Memorial Capsule).,First Turkmen satellite (not counting Turkmenistan Memorial Capsule).,First Turkmen satellite (not counting Turkmenistan Memorial Capsule).,,,0,122,2015.0,4.0,0.0,23.0
Soyuz-2.1a,Progress M-27M / 59P,Roscosmos,LEO (ISS),ISS resupply,8 May 2015,,,0,275,2015.0,4.0,1.0,7.0
Soyuz-2.1a,Spacecraft lost communications and attitude control soon after separation failure during launch.[8] International Space Station docking attempt cancelled.[9] Mission declared a total loss.[10],Spacecraft lost communications and attitude control soon after separation failure during launch.[8] International Space Station docking attempt cancelled.[9] Mission declared a total loss.[10],Spacecraft lost communications and attitude control soon after separation failure during launch.[8] International Space Station docking attempt cancelled.[9] Mission declared a total loss.[10],Spacecraft lost communications and attitude control soon after separation failure during launch.[8] International Space Station docking attempt cancelled.[9] Mission declared a total loss.[10],Spacecraft lost communications and attitude control soon after separation failure during launch.[8] International Space Station docking attempt cancelled.[9] Mission declared a total loss.[10],,,0,275,2015.0,4.0,1.0,7.0
Proton-M / Briz-M,Mexsat-1,SCT,GEO,Communications,16 May 2015,,,0,236,2015.0,5.0,5.0,5.0
Proton-M / Briz-M,Proton third stage vernier engine failed at T+497 seconds due to turbopump shaft coating degradation causing excess vibration.[11],Proton third stage vernier engine failed at T+497 seconds due to turbopump shaft coating degradation causing excess vibration.[11],Proton third stage vernier engine failed at T+497 seconds due to turbopump shaft coating degradation causing excess vibration.[11],Proton third stage vernier engine failed at T+497 seconds due to turbopump shaft coating degradation causing excess vibration.[11],Proton third stage vernier engine failed at T+497 seconds due to turbopump shaft coating degradation causing excess vibration.[11],,,0,236,2015.0,5.0,5.0,5.0
Atlas V 501,AFSPC-5 (X-37B OTV-4),U.S. Air Force,LEO,Technology demonstration,7 May 2017,,The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],1,49,2015.0,5.0,2.0,15.0
Atlas V 501,ULTRASat,NASA,LEO,CubeSat Deployment,In orbit,,The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],1,49,2015.0,5.0,2.0,15.0
Atlas V 501,⚀ LightSail 1,The Planetary Society,LEO,The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],14 June 2015 17:23,,The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],0,49,2015.0,5.0,2.0,15.0
Atlas V 501,⚀ USS Langley,U.S. Naval Academy,LEO,The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],11 October 2021[13],,The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],0,49,2015.0,5.0,2.0,15.0
