DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year
,Long March 2D,Chuangxin 1-04,CAS,Low Earth (SSO),Communications,In orbit,Operational,2014
,Long March 2D,Lingqiao,Tsinghua,Low Earth (SSO),Communications / Technology demonstration,In orbit,Operational,2014
,Falcon 9 v1.1,AsiaSat 6,AsiaSat,Geosynchronous,Communications,In orbit,Operational,2014
,Long March 4B,Yaogan 21,CAST,Low Earth (SSO),Reconnaissance,In orbit,Operational,2014
,Long March 4B,Tiantuo 2,NUDT,Low Earth (SSO),Technology demonstration,In orbit,Operational,2014
,Ariane 5 ECA,MEASAT 3b,MEASAT,Geosynchronous,Communications,In orbit,Operational,2014
,Ariane 5 ECA,Optus 10,Optus,Geosynchronous,Communications,In orbit,Operational,2014
,Atlas V 401,USA-257 (CLIO / Nemesis 2),NRO[12][13],Geosynchronous,COMINT,In orbit,Operational,2014
,Falcon 9 v1.1,SpaceX CRS-4,NASA,Low Earth (ISS),ISS logistics,25 October 2014,Successful,2014
,Falcon 9 v1.1,SpinSat,NRL,Low Earth,Technology demonstration,In orbit,Operational,2014
,Falcon 9 v1.1,SpinSat was deployed from the ISS on 28 November.,SpinSat was deployed from the ISS on 28 November.,SpinSat was deployed from the ISS on 28 November.,SpinSat was deployed from the ISS on 28 November.,SpinSat was deployed from the ISS on 28 November.,SpinSat was deployed from the ISS on 28 November.,2014
,Soyuz-FG,Soyuz TMA-14M,Roskosmos,Low Earth (ISS),Expedition 41 / 42,12 March 2015 02:07,Successful,2014
,Proton-M / Briz-M,Olymp-K (Luch),VKO,Geosynchronous,Communications,In orbit,Operational,2014
,Long March 2C,Shijian 11-07,CNSA,Low Earth (SSO),Technology demonstration,In orbit,Operational,2014
,H-IIA 202,Himawari 8,JMA,Geosynchronous,Meteorology,In orbit,Operational,2014
,PSLV-XL,IRNSS-1C,ISRO,Geosynchronous,Navigation,In orbit,Operational,2014
,Ariane 5 ECA,Intelsat 30,Intelsat,Geosynchronous,Communications,In orbit,Operational,2014
,Ariane 5 ECA,ARSAT-1,AR-SAT SA,Geosynchronous,Communications,In orbit,Operational,2014
,Long March 4C,Yaogan 22,CAST,Low Earth (SSO),Reconnaissance,In orbit,Operational,2014
,Proton-M / Briz-M,Ekspress AM6,RSCC,Geosynchronous,Communications,In orbit,Partial launch failure Operational,2014
,Proton-M / Briz-M,Upper stage underperformance resulted in lower than planned deployment orbit.,Upper stage underperformance resulted in lower than planned deployment orbit.[14],Upper stage underperformance resulted in lower than planned deployment orbit.[14],Upper stage underperformance resulted in lower than planned deployment orbit.[14],Upper stage underperformance resulted in lower than planned deployment orbit.[14],Upper stage underperformance resulted in lower than planned deployment orbit.,2014
,Long March 3C/E,Chang'e 5-T1,CNSA,Lunar free-return trajectory,Technology demonstration,In orbit,Operational,2014
,Long March 3C/E,Chang'e 5-T1 return capsule,CNSA,Lunar free-return trajectory,Technology demonstration,31 October 22:42,Successful,2014
,Long March 3C/E,Testing of Chang'e 5 lunar sample return module in lunar free-return trajectory; main spacecraft later flew to Earth-Moon L2 Lagrange point.,Testing of Chang'e 5 lunar sample return module in lunar free-return trajectory; main spacecraft later flew to Earth-Moon L2 Lagrange point.,Testing of Chang'e 5 lunar sample return module in lunar free-return trajectory; main spacecraft later flew to Earth-Moon L2 Lagrange point.,Testing of Chang'e 5 lunar sample return module in lunar free-return trajectory; main spacecraft later flew to Earth-Moon L2 Lagrange point.,Testing of Chang'e 5 lunar sample return module in lunar free-return trajectory; main spacecraft later flew to Earth-Moon L2 Lagrange point.,Testing of Chang'e 5 lunar sample return module in lunar free-return trajectory,2014
,Long March 2C,Shijian 11-08,CNSA,Low Earth (SSO),Technology demonstration,In orbit,Operational,2014
,Antares 130,Cygnus CRS Orb-3 S.S. Deke Slayton,NASA,Intended: Low Earth (ISS),ISS logistics,T+15 seconds,Launch failure,2014
,Antares 130,First stage failure; rocket crashed near launch pad; estimated US$20 million in repairs to rebuild Pad 0A. Only flight of Antares 130.,First stage failure; rocket crashed near launch pad; estimated US$20 million in repairs to rebuild Pad 0A.[15] Only flight of Antares 130.,First stage failure; rocket crashed near launch pad; estimated US$20 million in repairs to rebuild Pad 0A.[15] Only flight of Antares 130.,First stage failure; rocket crashed near launch pad; estimated US$20 million in repairs to rebuild Pad 0A.[15] Only flight of Antares 130.,First stage failure; rocket crashed near launch pad; estimated US$20 million in repairs to rebuild Pad 0A.[15] Only flight of Antares 130.,First stage failure,2014
,Soyuz-2.1a,Progress M-25M / 57P,Roskosmos,Low Earth (ISS),ISS logistics,26 April 2015,Successful,2014
,Atlas V 401,USA-258 (GPS IIF-8),U.S. Air Force,Medium Earth,Navigation,In orbit,Operational,2014
,Atlas V 401,Named after Star Spica.,Named after Star Spica.,Named after Star Spica.,Named after Star Spica.,Named after Star Spica.,Named after Star Spica.,2014
,Soyuz-2.1a / Fregat,Meridian 7,VKO,Molniya,Communications,In orbit,Operational,2014
,Dnepr,Asnaro-1 (Sasuke),USEF,Low Earth (SSO),Remote sensing,In orbit,Operational,2014
,Dnepr,ChubuSat 1 (Kinshachi 1),Nagoya University,Low Earth (SSO),Technology demonstration,In orbit,Operational,2014
,Dnepr,Hodoyoshi 1,University of Tokyo,Low Earth (SSO),Technology demonstration,In orbit,Operational,2014
,Dnepr,QSAT-EOS (Tsukushi),Kyushu University,Low Earth (SSO),Technology demonstration,3 December 2023,Successful,2014
,Dnepr,TSUBAME,TIT / JAXA,Low Earth (SSO),Gamma-ray astronomy,In orbit,Operational,2014
,Long March 2C,Yaogan 23,CAST,Low Earth (SSO),Reconnaissance,In orbit,Operational,2014
,Long March 2D,Yaogan 24,CAST,Low Earth (SSO),Reconnaissance,In orbit,Operational,2014
,Kuaizhou-1,Kuaizhou-2,CAS,Low Earth (SSO),Optical imaging,9 October 2016,Successful,2014
,Soyuz-FG,Soyuz TMA-15M,Roskosmos,Low Earth (ISS),Expedition 42 / 43,11 June 2015 13:44,Successful,2014
,Soyuz-2.1b / Fregat,Kosmos 2501 (GLONASS-K 702),VKO,Medium Earth,Navigation,In orbit,Operational,2014
,H-IIA 202,Hayabusa2,JAXA,Heliocentric,Asteroid sample return,In orbit,Operational,2014
,H-IIA 202,DCAM3,JAXA,Heliocentric,Asteroid probe,In orbit,Successful,2014
,H-IIA 202,MINERVA-II-1 Rover 1A,JAXA,Heliocentric (162173 Ryugu),Asteroid lander,In orbit,Successful,2014
,H-IIA 202,MINERVA-II-1 Rover 1B,JAXA,Heliocentric (162173 Ryugu),Asteroid lander,In orbit,Successful,2014
,H-IIA 202,MINERVA-II Rover 2,JAXA,Heliocentric (162173 Ryugu),Asteroid lander,In orbit,Spacecraft failure,2014
,H-IIA 202,MASCOT,DLR / CNES,Heliocentric (162173 Ryugu),Asteroid lander,In orbit,Successful,2014
,H-IIA 202,Despatch (Artsat 2),Tamabi / UT,Heliocentric,Technology demonstration,In orbit,Successful,2014
,H-IIA 202,PROCYON,UT,Heliocentric,Technology demonstration / Asteroid flyby,In orbit,Partial spacecraft failure,2014
,H-IIA 202,"DCAM3, MINERVA-II (Rover 1A, 1B, 2), and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.","DCAM3, MINERVA-II (Rover 1A, 1B, 2), and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.","DCAM3, MINERVA-II (Rover 1A, 1B, 2), and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.","DCAM3, MINERVA-II (Rover 1A, 1B, 2), and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.","DCAM3, MINERVA-II (Rover 1A, 1B, 2), and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.","DCAM3, MINERVA-II (Rover 1A, 1B, 2), and MASCOT are carried aboard Hayabusa2 to be deployed in proximity or onto the surface of asteroid 162173 Ryugu. MINERVA-II Rover 1A and 1B were deployed on 21 September 2018. MASCOT was deployed on 3 October 2018.",2014
,Delta IV Heavy,EFT-1,NASA,HEO,Technology demonstration,5 December 2014 16:29,Successful,2014
,Delta IV Heavy,First test flight of Orion spacecraft,First test flight of Orion spacecraft,First test flight of Orion spacecraft,First test flight of Orion spacecraft,First test flight of Orion spacecraft,First test flight of Orion spacecraft,2014
,Ariane 5 ECA,DirecTV-14,DirecTV,Geosynchronous,Communications,In orbit,Operational,2014
,Ariane 5 ECA,GSAT-16,ISRO,Geosynchronous,Communications,In orbit,Operational,2014
,Long March 4B,CBERS-4,CASC / INPE,Low Earth (SSO),Remote sensing,In orbit,Operational,2014
,Long March 4C,Yaogan 25A,CAST,Low Earth,ELINT,In orbit,Operational,2014
,Long March 4C,Yaogan 25B,CAST,Low Earth,ELINT,In orbit,Operational,2014
,Long March 4C,Yaogan 25C,CAST,Low Earth,ELINT,In orbit,Operational,2014
,Atlas V 541,USA-259 (NRO L-35),NRO,Molniya,ELINT,In orbit,Operational,2014
,Atlas V 541,NRO Launch 35,NRO Launch 35,NRO Launch 35,NRO Launch 35,NRO Launch 35,NRO Launch 35,2014
,Proton-M / Briz-M,Yamal-401,Gazprom Space Systems,Geosynchronous,Communications,In orbit,Operational,2014
,Soyuz-STB / Fregat,O3b FM9,O3b Networks,Medium Earth,Communications,In orbit,Operational,2014
,Soyuz-STB / Fregat,O3b FM10,O3b Networks,Medium Earth,Communications,In orbit,Operational,2014
,Soyuz-STB / Fregat,O3b FM11,O3b Networks,Medium Earth,Communications,In orbit,Operational,2014
,Soyuz-STB / Fregat,O3b FM12,O3b Networks,Medium Earth,Communications,In orbit,Operational,2014
,Strela,Kondor-E,Roskosmos / DoD,Low Earth,Synthetic-aperture radar imaging,22 October 2022[16],Successful,2014
,Angara A5 / Briz-M,IPM №1 (MGM №1),Khrunichev,Geosynchronous[17],Test flight,In orbit,Successful,2014
,Soyuz-2.1b,Kosmos 2502 (Lotos-S),VKO,Low Earth,ELINT,In orbit,Operational,2014
,Soyuz-2.1b,Resurs-P No.2,Roskosmos,Low Earth (SSO),Remote sensing,In orbit,Operational,2014
,Long March 4B,Yaogan 26,CAST,Low Earth (SSO),Reconnaissance,In orbit,Operational,2014
,Proton-M / Briz-M,Astra 2G,SES S.A.,Geosynchronous,Communications,In orbit,Operational,2014
,Long March 3A,Fengyun 2G,CMA,Geosynchronous,Meteorology,In orbit,Operational,2014
,Falcon 9 v1.1,SpaceX CRS-5,NASA,Low Earth (ISS),ISS resupply,11 February 2015 00:44,Successful,2015
,Falcon 9 v1.1,⚀ AESP-14,ITA,Low Earth,Ionospheric research,11 May 2015,Successful,2015
,Falcon 9 v1.1,⚀ Flock-1d' 1,Planet Labs,Low Earth,Earth observation,13 October 2015,Successful,2015
,Falcon 9 v1.1,⚀ Flock-1d' 2,Planet Labs,Low Earth,Earth observation,27 December 2015,Successful,2015
,Falcon 9 v1.1,"SpaceX attempted to land the first stage on a platform in the Atlantic Ocean, but the first stage crash-landed on its landing platform. The AESP-14 CubeSat was deployed from the space station on 5 February 2015, while the Flock-1 CubeSats were deployed on 3 March 2015.","SpaceX attempted to land the first stage on a platform in the Atlantic Ocean, but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]","SpaceX attempted to land the first stage on a platform in the Atlantic Ocean, but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]","SpaceX attempted to land the first stage on a platform in the Atlantic Ocean, but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]","SpaceX attempted to land the first stage on a platform in the Atlantic Ocean, but the first stage crash-landed on its landing platform.[1] The AESP-14 CubeSat was deployed from the space station on 5 February 2015,[2] while the Flock-1 CubeSats were deployed on 3 March 2015.[3]","SpaceX attempted to land the first stage on a platform in the Atlantic Ocean, but the first stage crash-landed on its landing platform. The AESP-14 CubeSat was deployed from the space station on 5 February 2015, while the Flock-1 CubeSats were deployed on 3 March 2015.",2015
,Atlas V 551,MUOS-3,US Navy,Geosynchronous,Communications,In orbit,Operational,2015
,Delta II 7320,SMAP,NASA,Low Earth (SSO),Earth observation,In orbit,Operational,2015
,Delta II 7320,⚀ ExoCube,Cal Poly,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Delta II 7320,⚀ FIREBIRD II A,Montana State,Low Earth (SSO),Technology demonstration,2 August 2023[4],Successful,2015
,Delta II 7320,⚀ FIREBIRD II B,Montana State,Low Earth (SSO),Technology demonstration,2 August 2023[5],Successful,2015
,Delta II 7320,⚀ GRIFEX,NASA / JPL,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,H-IIA 202,IGS-Radar Spare,CSICE,Low Earth (SSO),Reconnaissance,In orbit,Successful,2015
,Proton-M/Briz-M,Inmarsat 5-F2,Inmarsat,Geosynchronous,Communications,In orbit,Operational,2015
,Safir-1B,Fajr,ISA,Low Earth,Technology demonstration,26 February 2015,Successful,2015
,Vega,IXV,ESA,Transatmospheric,Technology demonstration,11 February 2015 15:19,Successful,2015
,Vega,Vega's 4th stage briefly entered low Earth orbit before de-orbiting; thus it did not get a COSPAR ID. This marked the first flight of the IXV,Vega's 4th stage briefly entered low Earth orbit before de-orbiting; thus it did not get a COSPAR ID. This marked the first flight of the IXV,Vega's 4th stage briefly entered low Earth orbit before de-orbiting; thus it did not get a COSPAR ID. This marked the first flight of the IXV,Vega's 4th stage briefly entered low Earth orbit before de-orbiting; thus it did not get a COSPAR ID. This marked the first flight of the IXV,Vega's 4th stage briefly entered low Earth orbit before de-orbiting; thus it did not get a COSPAR ID. This marked the first flight of the IXV,Vega's 4th stage briefly entered low Earth orbit before de-orbiting,2015
,Falcon 9 v1.1,DSCOVR,NOAA,Sun–Earth L1,Earth observation / Heliophysics,In orbit,Operational,2015
,Falcon 9 v1.1,First SpaceX launch aimed beyond GTO. First stage soft landed on water.,First SpaceX launch aimed beyond GTO. First stage soft landed on water.,First SpaceX launch aimed beyond GTO. First stage soft landed on water.,First SpaceX launch aimed beyond GTO. First stage soft landed on water.,First SpaceX launch aimed beyond GTO. First stage soft landed on water.,First SpaceX launch aimed beyond GTO. First stage soft landed on water.,2015
,Soyuz-U,Progress M-26M / 58P,Roscosmos,Low Earth (ISS),ISS resupply,14 August 2015 14:17,Successful,2015
,Soyuz-2.1a,Kosmos 2503 (Bars-M 1L),VKO,Low Earth (SSO),Reconnaissance,In orbit,Operational,2015
,Falcon 9 v1.1,Eutelsat 115 West B,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2015
,Falcon 9 v1.1,ABS-3A,ABS,Geosynchronous,Communications,In orbit,Operational,2015
,Falcon 9 v1.1,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,First communication satellites to use all-electric propulsion to reach intended orbits from GTO.,2015
,Atlas V 421,MMS-1,NASA,Elliptical High Earth,Magnetospheric research,In orbit,Operational,2015
,Atlas V 421,MMS-2,NASA,Elliptical High Earth,Magnetospheric research,In orbit,Operational,2015
,Atlas V 421,MMS-3,NASA,Elliptical High Earth,Magnetospheric research,In orbit,Operational,2015
,Atlas V 421,MMS-4,NASA,Elliptical High Earth,Magnetospheric research,In orbit,Operational,2015
,Proton-M / Briz-M,Ekspress AM7,RSCC,Geosynchronous,Communications,In orbit,Operational,2015
,"Delta IV M+(4,2)",USA-260 (GPS IIF-9),US Air Force,Medium Earth,Navigation,In orbit,Operational,2015
,"Delta IV M+(4,2)",Named after Star Deneb.,Named after Star Deneb.,Named after Star Deneb.,Named after Star Deneb.,Named after Star Deneb.,Named after Star Deneb.,2015
,Dnepr,KOMPSat-3A,KARI,Low Earth (SSO),Earth observation,In orbit,Operational,2015
,Dnepr,"Final flight of Dnepr-1 rocket, due to the Russo-Ukrainian war.","Final flight of Dnepr-1 rocket, due to the Russo-Ukrainian war.","Final flight of Dnepr-1 rocket, due to the Russo-Ukrainian war.","Final flight of Dnepr-1 rocket, due to the Russo-Ukrainian war.","Final flight of Dnepr-1 rocket, due to the Russo-Ukrainian war.","Final flight of Dnepr-1 rocket, due to the Russo-Ukrainian war.",2015
,H-IIA 202,IGS-Optical 5,CSICE,Low Earth (SSO),Reconnaissance,In orbit,Operational,2015
,Soyuz-FG,Soyuz TMA-16M,Roscosmos,Low Earth (ISS),Expedition 43/44/45/46,12 September 2015 00:51,Successful,2015
,Soyuz-STB / Fregat,Galileo FOC 3,ESA,Medium Earth,Navigation,In orbit,Operational,2015
,Soyuz-STB / Fregat,Galileo FOC 4,ESA,Medium Earth,Navigation,In orbit,Operational,2015
,PSLV-XL,IRNSS-1D,ISRO,Geosynchronous,Navigation,In orbit,Operational,2015
,Long March 3C/E/YZ-1,BeiDou I1-S,CNSA,Geosynchronous,Navigation,In orbit,Operational,2015
,Rokot / Briz-KM,Gonets-M 11,Gonets Satellite System,Low Earth,Communications,In orbit,Operational,2015
,Rokot / Briz-KM,Gonets-M 12,Gonets Satellite System,Low Earth,Communications,In orbit,Operational,2015
,Rokot / Briz-KM,Gonets-M 13,Gonets Satellite System,Low Earth,Communications,In orbit,Operational,2015
,Rokot / Briz-KM,Kosmos 2504,VKO,Low Earth,Technology demonstration / Satellite inspection (?),In orbit,Operational,2015
,Falcon 9 v1.1,SpaceX CRS-6,NASA,Low Earth (ISS),ISS resupply,21 May 2015 16:42,Successful,2015
,Falcon 9 v1.1,Arkyd 3 Reflight,Planetary Resources,Low Earth,Technology demonstration,23 December 2015,Successful,2015
,Falcon 9 v1.1,⚀ Flock-1e × 14,Planet Labs,Low Earth,Earth observation,First: 8 February 2016 Last: 24 August 2016,Successful,2015
,Falcon 9 v1.1,"First stage recovery failed; the rocket stage landed on the target drone ship too fast, tipped over, and exploded. All secondary payloads were deployed from an ISS airlock later. Arkyd 3 Reflight is a replacement for Arkyd 3, which was lost in the Cygnus CRS Orb-3 flight accident in 2014.","First stage recovery failed; the rocket stage landed on the target drone ship too fast, tipped over, and exploded.[7] All secondary payloads were deployed from an ISS airlock later. Arkyd 3 Reflight is a replacement for Arkyd 3, which was lost in the Cygnus CRS Orb-3 flight accident in 2014.","First stage recovery failed; the rocket stage landed on the target drone ship too fast, tipped over, and exploded.[7] All secondary payloads were deployed from an ISS airlock later. Arkyd 3 Reflight is a replacement for Arkyd 3, which was lost in the Cygnus CRS Orb-3 flight accident in 2014.","First stage recovery failed; the rocket stage landed on the target drone ship too fast, tipped over, and exploded.[7] All secondary payloads were deployed from an ISS airlock later. Arkyd 3 Reflight is a replacement for Arkyd 3, which was lost in the Cygnus CRS Orb-3 flight accident in 2014.","First stage recovery failed; the rocket stage landed on the target drone ship too fast, tipped over, and exploded.[7] All secondary payloads were deployed from an ISS airlock later. Arkyd 3 Reflight is a replacement for Arkyd 3, which was lost in the Cygnus CRS Orb-3 flight accident in 2014.",First stage recovery failed,2015
,Ariane 5 ECA,Thor 7,Telenor,Geosynchronous,Communications,In orbit,Operational,2015
,Ariane 5 ECA,SICRAL-2,MDD/DGA,Geosynchronous,Communications,In orbit,Operational,2015
,Falcon 9 v1.1,TürkmenÄlem 52°E / MonacoSAT,Turkmen Telecom,Geosynchronous,Communications,In orbit,Operational,2015
,Falcon 9 v1.1,First Turkmen satellite (not counting Turkmenistan Memorial Capsule).,First Turkmen satellite (not counting Turkmenistan Memorial Capsule).,First Turkmen satellite (not counting Turkmenistan Memorial Capsule).,First Turkmen satellite (not counting Turkmenistan Memorial Capsule).,First Turkmen satellite (not counting Turkmenistan Memorial Capsule).,First Turkmen satellite (not counting Turkmenistan Memorial Capsule).,2015
,Soyuz-2.1a,Progress M-27M / 59P,Roscosmos,Low Earth (ISS),ISS resupply,8 May 2015,Failure,2015
,Soyuz-2.1a,Spacecraft lost communications and attitude control soon after separation failure during launch. International Space Station docking attempt cancelled. Mission declared a total loss.,Spacecraft lost communications and attitude control soon after separation failure during launch.[8] International Space Station docking attempt cancelled.[9] Mission declared a total loss.[10],Spacecraft lost communications and attitude control soon after separation failure during launch.[8] International Space Station docking attempt cancelled.[9] Mission declared a total loss.[10],Spacecraft lost communications and attitude control soon after separation failure during launch.[8] International Space Station docking attempt cancelled.[9] Mission declared a total loss.[10],Spacecraft lost communications and attitude control soon after separation failure during launch.[8] International Space Station docking attempt cancelled.[9] Mission declared a total loss.[10],Spacecraft lost communications and attitude control soon after separation failure during launch. International Space Station docking attempt cancelled. Mission declared a total loss.,2015
,Proton-M / Briz-M,Mexsat-1,SCT,Geosynchronous,Communications,16 May 2015,Launch failure,2015
,Proton-M / Briz-M,Proton third stage vernier engine failed at T+497 seconds due to turbopump shaft coating degradation causing excess vibration.,Proton third stage vernier engine failed at T+497 seconds due to turbopump shaft coating degradation causing excess vibration.[11],Proton third stage vernier engine failed at T+497 seconds due to turbopump shaft coating degradation causing excess vibration.[11],Proton third stage vernier engine failed at T+497 seconds due to turbopump shaft coating degradation causing excess vibration.[11],Proton third stage vernier engine failed at T+497 seconds due to turbopump shaft coating degradation causing excess vibration.[11],Proton third stage vernier engine failed at T+497 seconds due to turbopump shaft coating degradation causing excess vibration.,2015
,Atlas V 501,AFSPC-5 (X-37B OTV-4),U.S. Air Force,Low Earth,Technology demonstration,7 May 2017,Operational,2015
,Atlas V 501,ULTRASat,NASA,Low Earth,CubeSat Deployment,In orbit,Operational,2015
,Atlas V 501,⚀ LightSail 1,The Planetary Society,Low Earth,Technology demonstration,14 June 2015 17:23,Successful,2015
,Atlas V 501,⚀ USS Langley,U.S. Naval Academy,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 501,⚀ BRICSat-P,U.S. Naval Academy / George Washington,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 501,⚀ ParkinsonSat,U.S. Naval Academy,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 501,⚀ GEARRS-2,Taylor,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 501,⚀ AeroCube-8A,The Aerospace Corporation,Low Earth,Technology demonstration,11 October 2021[13],Successful,2015
,Atlas V 501,⚀ AeroCube-8B,The Aerospace Corporation,Low Earth,Technology demonstration,2 October 2021[14],Successful,2015
,Atlas V 501,⚀ OptiCube 1,CalPoly,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 501,⚀ OptiCube 2,CalPoly,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 501,⚀ OptiCube 3,CalPoly,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 501,The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.,The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.,2015
,Ariane 5 ECA,DirecTV-15,DirecTV,Geosynchronous,Communications,In orbit,Operational,2015
,Ariane 5 ECA,Sky Mexico 1,SKY Mexico,Geosynchronous,Communications,In orbit,Operational,2015
,Soyuz-2.1a,Kosmos 2505 (Kobalt-M №10),VKO,Low Earth,Reconnaissance,18 September 2015,Successful,2015
,Vega,Sentinel-2A,ESA,Low Earth (SSO),Earth observation,In orbit,Operational,2015
,Soyuz-2.1b,Kosmos 2506 (Persona №3),VKO,Low Earth (SSO),Reconnaissance,In orbit,Operational,2015
,Long March 4B,Gaofen 8,CNSA,Low Earth (SSO),Earth observation / Reconnaissance,In orbit,Operational,2015
,Falcon 9 v1.1,SpaceX CRS-7,NASA,Low Earth (ISS),ISS resupply,28 June 2015,Launch Failure,2015
,Falcon 9 v1.1,⚀ Flock-1f × 8,Planet Labs,Low Earth,Earth observation,28 June 2015,Launch Failure,2015
,Falcon 9 v1.1,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks. Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks.[15] Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks.[15] Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks.[15] Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks.[15] Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks. Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,2015
,Soyuz-U,Progress M-28M / 60P,Roscosmos,Low Earth (ISS),ISS resupply,19 December 2015,Successful,2015
,PSLV-XL,UK-DMC-3A,DMCii,Low Earth (SSO),Earth observation,In orbit,Operational,2015
,PSLV-XL,UK-DMC-3B,DMCii,Low Earth (SSO),Earth observation,In orbit,Operational,2015
,PSLV-XL,UK-DMC-3C,DMCii,Low Earth (SSO),Earth observation,In orbit,Operational,2015
,PSLV-XL,CBNT-1,SSTL,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,PSLV-XL,⚀ DeOrbitSail,Surrey Space Centre,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Atlas V 401,USA-262 (GPS IIF-10),U.S. Air Force,Medium Earth,Navigation,In orbit,Operational,2015
,Atlas V 401,Named after Star Antares.,Named after Star Antares.,Named after Star Antares.,Named after Star Antares.,Named after Star Antares.,Named after Star Antares.,2015
,Ariane 5 ECA,Star One C4,Star One,Geosynchronous,Communications,In orbit,Operational,2015
,Ariane 5 ECA,MSG-4,EUMETSAT,Geosynchronous,Meteorology,In orbit,Operational,2015
,Soyuz-FG,Soyuz TMA-17M,Roscosmos,Low Earth (ISS),Expedition 44/45,11 December 2015 13:10,Successful,2015
,"Delta IV M+(5,4)",USA-263 (WGS-7),U.S. Air Force,Geosynchronous,Communications,In orbit,Operational,2015
