DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year,FlightNumberInfo,LaunchSite
20 May 15:05:00,Atlas V 501,⚀ USS Langley,U.S. Naval Academy,LEO,Technology demonstration,In orbit,Operational,2015,,
20 May 15:05:00,Atlas V 501,⚀ BRICSat-P,U.S. Naval Academy / George Washington,LEO,Technology demonstration,In orbit,Operational,2015,,
20 May 15:05:00,Atlas V 501,⚀ ParkinsonSat,U.S. Naval Academy,LEO,Technology demonstration,In orbit,Operational,2015,,
20 May 15:05:00,Atlas V 501,⚀ GEARRS-2,Taylor,LEO,Technology demonstration,In orbit,Operational,2015,,
20 May 15:05:00,Atlas V 501,⚀ AeroCube-8A,The Aerospace Corporation,LEO,Technology demonstration,11 October 2021[13],Successful,2015,,
20 May 15:05:00,Atlas V 501,⚀ AeroCube-8B,The Aerospace Corporation,LEO,Technology demonstration,2 October 2021[14],Successful,2015,,
20 May 15:05:00,Atlas V 501,⚀ OptiCube 1,CalPoly,LEO,Technology demonstration,In orbit,Operational,2015,,
20 May 15:05:00,Atlas V 501,⚀ OptiCube 2,CalPoly,LEO,Technology demonstration,In orbit,Operational,2015,,
20 May 15:05:00,Atlas V 501,⚀ OptiCube 3,CalPoly,LEO,Technology demonstration,In orbit,Operational,2015,,
20 May 15:05:00,Atlas V 501,The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],,The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12],2015,,The X-37B spaceplane landed autonomously at Kennedy Space Center's Shuttle Landing Facility after spending a record-breaking 718 days in orbit.[12]
27 May 21:16:07,Ariane 5 ECA,DirecTV-15,DirecTV,GEO,Communications,In orbit,Operational,2015,,
27 May 21:16:07,Ariane 5 ECA,Sky Mexico 1,SKY Mexico,GEO,Communications,In orbit,Operational,2015,,
5 June 15:23:54,Soyuz-2.1a,Kosmos 2505 (Kobalt-M №10),VKO,LEO,Reconnaissance,18 September 2015,Successful,2015,,
23 June 01:51:58,Vega,Sentinel-2A,ESA,LEO (SSO),Earth observation,In orbit,Operational,2015,,
23 June 16:44:00,Soyuz-2.1b,Kosmos 2506 (Persona №3),VKO,LEO (SSO),Reconnaissance,In orbit,Operational,2015,,
26 June 06:22:04,Long March 4B,Gaofen 8,CNSA,LEO (SSO),Earth observation / Reconnaissance,In orbit,Operational,2015,,
28 June 14:21:11,Falcon 9 v1.1,SpaceX CRS-7,NASA,LEO (ISS),ISS resupply,28 June 2015,Launch Failure,2015,,
28 June 14:21:11,Falcon 9 v1.1,⚀ Flock-1f × 8[16],Planet Labs,LEO,Earth observation,28 June 2015,Launch Failure,2015,,
28 June 14:21:11,Falcon 9 v1.1,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks.[15] Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks.[15] Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks.[15] Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks.[15] Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks.[15] Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,Vehicle disintegrated at T+139 seconds after second stage helium tank support strut failure caused helium tank to break through second stage tanks.[15] Attempted to deliver the IDA-1 segment of the NASA Docking System. CubeSats were to be deployed from the International Space Station at a later date. Planned first stage landing test not achieved.,2015,,
3 July 04:55:48,Soyuz-U,Progress M-28M / 60P,Roscosmos,LEO (ISS),ISS resupply,19 December 2015,Successful,2015,,
10 July 16:28:00,PSLV-XL,UK-DMC-3A,DMCii,LEO (SSO),Earth observation,In orbit,Operational,2015,,
10 July 16:28:00,PSLV-XL,UK-DMC-3B,DMCii,LEO (SSO),Earth observation,In orbit,Operational,2015,,
10 July 16:28:00,PSLV-XL,UK-DMC-3C,DMCii,LEO (SSO),Earth observation,In orbit,Operational,2015,,
10 July 16:28:00,PSLV-XL,CBNT-1,SSTL,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
10 July 16:28:00,PSLV-XL,⚀ DeOrbitSail,Surrey Space Centre,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
15 July 15:36:00,Atlas V 401,USA-262 (GPS IIF-10),U.S. Air Force,MEO,Navigation,In orbit,Operational,2015,,
15 July 15:36:00,Atlas V 401,Named after Star Antares.,Named after Star Antares.,Named after Star Antares.,Named after Star Antares.,Named after Star Antares.,Named after Star Antares.,2015,,
15 July 21:42:07,Ariane 5 ECA,Star One C4,Star One,GEO,Communications,In orbit,Operational,2015,,
15 July 21:42:07,Ariane 5 ECA,MSG-4,EUMETSAT,GEO,Meteorology,In orbit,Operational,2015,,
22 July 21:02:44,Soyuz-FG,Soyuz TMA-17M,Roscosmos,LEO (ISS),Expedition 44/45,11 December 2015 13:10,Successful,2015,,
22 July 21:02:44,Soyuz-FG,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,2015,,
24 July 00:07:00,"Delta IV M+(5,4)",USA-263 (WGS-7),U.S. Air Force,GEO,Communications,In orbit,Operational,2015,,
25 July 12:29:04,Long March 3B/YZ-1,BeiDou M1-S,CNSA,MEO,Navigation,In orbit,Operational,2015,,
25 July 12:29:04,Long March 3B/YZ-1,BeiDou M2-S,CNSA,MEO,Navigation,In orbit,Operational,2015,,
19 August 11:50:49,H-IIB,HTV-5,JAXA,LEO (ISS),ISS resupply,29 September 2015,Successful,2015,,
19 August 11:50:49,H-IIB,⚀ AAUSAT5,Aalborg,LEO,Technology demonstration,15 March 2016,Successful,2015,,
19 August 11:50:49,H-IIB,⚀ Flock-2b × 14[18],Planet Labs,LEO,Earth observation,First: 22 May 2016 Last: 17 October 2016,Successful (12 deployed),2015,,
19 August 11:50:49,H-IIB,⚀ GOMX-3,GomSpace,LEO,Technology demonstration,19 October 2016[19],Successful,2015,,
19 August 11:50:49,H-IIB,⚀ S-CUBE,Chiba Institute of Technology,LEO,Meteor observation,23 November 2016[20],,2015,,
19 August 11:50:49,H-IIB,⚀ SERPENS,University of Brasília / Brazilian Space Agency,LEO,Technology demonstration,27 March 2016,Successful,2015,,
19 August 11:50:49,H-IIB,"CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.[17]","CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.[17]","CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.[17]","CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.[17]","CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.[17]","CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.[17]",2015,,
20 August 20:34:08,Ariane 5 ECA,Eutelsat 8 West B,Eutelsat,GEO,Communications,In orbit,Operational,2015,,
20 August 20:34:08,Ariane 5 ECA,Intelsat 34,Intelsat,GEO,Communications,In orbit,Operational,2015,,
27 August 02:31:35,Long March 4C,Yaogan 27,CNSA,LEO (SSO),Reconnaissance,In orbit,Operational,2015,,
27 August 11:22:00,GSLV Mk II,GSAT-6,Indian Armed Forces/ISRO,GEO,Communications,In orbit,Operational,2015,,
28 August 11:44:00,Proton-M / Briz-M,Inmarsat 5-F3,Inmarsat,GEO,Communications,In orbit,Operational,2015,,
2 September 04:37:43,Soyuz-FG,Soyuz TMA-18M,Roscosmos,LEO (ISS),Expedition 45/46/iriss[23],2 March 2016 04:26,Successful,2015,,
2 September 04:37:43,Soyuz-FG,"Crewed flight with three cosmonauts: including ESA astronaut Andreas Mogensen, the first Dane in space, and Aidyn Aimbetov, the first cosmonaut from an independent Kazakhstan. Sarah Brightman was intended to fly this mission as a spaceflight participant, but withdrew from training on 13 May 2015 for personal reasons.[21] Japanese space tourist Satoshi Takamatsu was believed to be taking Brightman's place, but he declined and Roscosmos chose Aimbetov as an alternative instead.[22] Landed with the Year in Space crew of Scott Kelly and Mikhail Korniyenko","Crewed flight with three cosmonauts: including ESA astronaut Andreas Mogensen, the first Dane in space, and Aidyn Aimbetov, the first cosmonaut from an independent Kazakhstan. Sarah Brightman was intended to fly this mission as a spaceflight participant, but withdrew from training on 13 May 2015 for personal reasons.[21] Japanese space tourist Satoshi Takamatsu was believed to be taking Brightman's place, but he declined and Roscosmos chose Aimbetov as an alternative instead.[22] Landed with the Year in Space crew of Scott Kelly and Mikhail Korniyenko","Crewed flight with three cosmonauts: including ESA astronaut Andreas Mogensen, the first Dane in space, and Aidyn Aimbetov, the first cosmonaut from an independent Kazakhstan. Sarah Brightman was intended to fly this mission as a spaceflight participant, but withdrew from training on 13 May 2015 for personal reasons.[21] Japanese space tourist Satoshi Takamatsu was believed to be taking Brightman's place, but he declined and Roscosmos chose Aimbetov as an alternative instead.[22] Landed with the Year in Space crew of Scott Kelly and Mikhail Korniyenko","Crewed flight with three cosmonauts: including ESA astronaut Andreas Mogensen, the first Dane in space, and Aidyn Aimbetov, the first cosmonaut from an independent Kazakhstan. Sarah Brightman was intended to fly this mission as a spaceflight participant, but withdrew from training on 13 May 2015 for personal reasons.[21] Japanese space tourist Satoshi Takamatsu was believed to be taking Brightman's place, but he declined and Roscosmos chose Aimbetov as an alternative instead.[22] Landed with the Year in Space crew of Scott Kelly and Mikhail Korniyenko","Crewed flight with three cosmonauts: including ESA astronaut Andreas Mogensen, the first Dane in space, and Aidyn Aimbetov, the first cosmonaut from an independent Kazakhstan. Sarah Brightman was intended to fly this mission as a spaceflight participant, but withdrew from training on 13 May 2015 for personal reasons.[21] Japanese space tourist Satoshi Takamatsu was believed to be taking Brightman's place, but he declined and Roscosmos chose Aimbetov as an alternative instead.[22] Landed with the Year in Space crew of Scott Kelly and Mikhail Korniyenko","Crewed flight with three cosmonauts: including ESA astronaut Andreas Mogensen, the first Dane in space, and Aidyn Aimbetov, the first cosmonaut from an independent Kazakhstan. Sarah Brightman was intended to fly this mission as a spaceflight participant, but withdrew from training on 13 May 2015 for personal reasons.[21] Japanese space tourist Satoshi Takamatsu was believed to be taking Brightman's place, but he declined and Roscosmos chose Aimbetov as an alternative instead.[22] Landed with the Year in Space crew of Scott Kelly and Mikhail Korniyenko",2015,,
2 September 10:18:00,Atlas V 551,MUOS-4,U.S. Navy,GEO,Communications,In orbit,Operational,2015,,
11 September 02:08:10,Soyuz-STB / Fregat,Galileo FOC 5,ESA,MEO,Navigation,In orbit,Operational,2015,,
11 September 02:08:10,Soyuz-STB / Fregat,Galileo FOC 6,ESA,MEO,Navigation,In orbit,Operational,2015,,
12 September 15:42:04,Long March 3B/E,TJS-1,CNSA,GEO,Communications,In orbit,Operational,2015,,
14 September 04:42,Long March 2D,Gaofen 9,CNSA,LEO (SSO),Earth observation / Reconnaissance,In orbit,Operational,2015,,
14 September 19:00:00,Proton-M / Blok DM-03,Ekspress AM8,RSCC,GEO,Communications,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,LilacSat-2,HIT,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,NS-2,Tsinghua University,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,NUDT-PhoneSat,NUDT,LEO (SSO),Technology demonstration,29 March 2023[24],Successful,2015,,
19 September 23:01:14,Long March 6,Tiantuo-3,NUDT,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,Xingchen 1,NUDT,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,Xingchen 2,NUDT,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,Xingchen 3,NUDT,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,Xingchen 4,NUDT,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,Xiwang-2A,CAMSAT,LEO (SSO),Amateur radio,25 April 2023[25],Successful,2015,,
19 September 23:01:14,Long March 6,Xiwang-2B,CAMSAT,LEO (SSO),Amateur radio,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,Xiwang-2C,CAMSAT,LEO (SSO),Amateur radio,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,Xiwang-2D,CAMSAT,LEO (SSO),Amateur radio,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,Xiwang-2E,CAMSAT,LEO (SSO),Amateur radio,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,Xiwang-2F,CAMSAT,LEO (SSO),Amateur radio,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,XY-2,CASC,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,ZDPS-2A,ZJU,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,ZDPS-2B,ZJU,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,ZJ-1,Tsinghua University,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,ZJ-2,Tsinghua / Xidian,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,⚀ DCBB,CAMSAT,LEO (SSO),Education,In orbit,Operational,2015,,
19 September 23:01:14,Long March 6,,Maiden flight of the Long March 6 vehicle.,Maiden flight of the Long March 6 vehicle.,Maiden flight of the Long March 6 vehicle.,Maiden flight of the Long March 6 vehicle.,Maiden flight of the Long March 6 vehicle.,2015,First flight,
23 September 21:59:38,Rokot / Briz-KM,Kosmos 2507 (Strela-3M),VKO,LEO,Communications,In orbit,Operational,2015,,
23 September 21:59:38,Rokot / Briz-KM,Kosmos 2508 (Strela-3M),VKO,LEO,Communications,In orbit,Operational,2015,,
23 September 21:59:38,Rokot / Briz-KM,Kosmos 2509 (Strela-3M),VKO,LEO,Communications,In orbit,Operational,2015,,
25 September 01:41:40,Long March 11,Pujiang-1,SAST,LEO (SSO),Technology demonstration,In orbit,Operational,2015,,
25 September 01:41:40,Long March 11,⚀ Tianwang 1A (Shankeda 2),ShanghaiTech,LEO (SSO),Technology demonstration,30 December 2022[26],Successful,2015,,
25 September 01:41:40,Long March 11,⚀ Tianwang 1B (NJUST 2),NJUST,LEO (SSO),Technology demonstration,31 March 2021[27],Successful,2015,,
25 September 01:41:40,Long March 11,⚀ Tianwang 1C (NJFA 1),ShanghaiTech,LEO (SSO),Technology demonstration,27 February 2021[28],Successful,2015,,
25 September 01:41:40,Long March 11,,Maiden flight of the Long March 11 vehicle.,Maiden flight of the Long March 11 vehicle.,Maiden flight of the Long March 11 vehicle.,Maiden flight of the Long March 11 vehicle.,Maiden flight of the Long March 11 vehicle.,2015,First flight,
28 September 04:30:00,PSLV-XL,Astrosat,ISRO,LEO,X-ray astronomy,In orbit,Operational,2015,,
28 September 04:30:00,PSLV-XL,LAPAN-A2,LAPAN,LEO,Earth observation,In orbit,Operational,2015,,
28 September 04:30:00,PSLV-XL,ExactView 9,exactEarth,LEO,Maritime observation,In orbit,Operational,2015,,
28 September 04:30:00,PSLV-XL,⚀ Lemur-2 1,NanoSatisfi,LEO,Earth observation,In orbit,Operational,2015,,
28 September 04:30:00,PSLV-XL,⚀ Lemur-2 2,NanoSatisfi,LEO,Earth observation,In orbit,Operational,2015,,
28 September 04:30:00,PSLV-XL,⚀ Lemur-2 3,NanoSatisfi,LEO,Earth observation,In orbit,Operational,2015,,
28 September 04:30:00,PSLV-XL,⚀ Lemur-2 4,NanoSatisfi,LEO,Earth observation,In orbit,Operational,2015,,
29 September 23:13:04,Long March 3B/E,BeiDou I2-S,CNSA,GEO,Navigation,In orbit,Operational,2015,,
30 September 20:30:07,Ariane 5 ECA,NBN-Co 1A (Sky Muster),NBN Co,GEO,Communications,In orbit,Operational,2015,,
30 September 20:30:07,Ariane 5 ECA,ARSAT-2,ARSAT,GEO,Communications,In orbit,Operational,2015,,
1 October 16:49:40,Soyuz-U,Progress M-29M / 61P,Roscosmos,LEO (ISS),ISS resupply,8 April 2016,Successful,2015,,
2 October 10:28:00,Atlas V 421,Mexsat-2,SCT,GEO,Communications,In orbit,Operational,2015,,
7 October 04:13:04,Long March 2D,Jilin-1 Smart Verification Satellite[29],Chang Guang Satellite Technology,LEO (SSO),Earth observation,In orbit,Operational,2015,,
7 October 04:13:04,Long March 2D,Jilin-1 Optical-A[30],Chang Guang Satellite Technology,LEO (SSO),Earth observation,In orbit,Operational,2015,,
7 October 04:13:04,Long March 2D,Jilin-1 Video-01 (Lingqiao 1-01)[31],Chang Guang Satellite Technology,LEO (SSO),Earth observation,In orbit,Operational,2015,,
7 October 04:13:04,Long March 2D,Jilin-1 Video-02 (Lingqiao 1-02)[31],Chang Guang Satellite Technology,LEO (SSO),Earth observation,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,USA-264 (NOSS),NRO,LEO,ELINT,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,USA-264 (NOSS),NRO,LEO,ELINT,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,⚀ Aerocube-5c,The Aerospace Corporation,LEO,Technology demonstration,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,⚀ Aerocube-7,The Aerospace Corporation,LEO,Technology demonstration,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,⚀ AMSAT Fox-1,AMSAT,LEO,Amateur radio / Technology demonstration,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,⚀ ARC-1,UAF,LEO,Technology demonstration,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,⚀ BisonSat,SKC,LEO,Earth observation,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,⚀ LMRST-Sat,NASA / JPL,LEO,Technology demonstration,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,⚀ PropCube x 2,Tyvak Nano-Satellite Systems,LEO,Technology demonstration,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,⚀ SINOD-D x 2,SRI International,LEO,Technology demonstration,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,⚀ SNaP-3 x 3,U.S. Army SMDC,LEO,Technology demonstration,In orbit,Operational,2015,,
8 October 12:49:30,Atlas V 401,NRO Launch 55,NRO Launch 55,NRO Launch 55,NRO Launch 55,NRO Launch 55,NRO Launch 55,2015,,
16 October 16:16:04,Long March 3B/E,APStar-9,APT Satellite Holdings,GEO,Communications,In orbit,Operational,2015,,
16 October 20:40:11,Proton-M / Briz-M,Türksat 4B,Türksat,GEO,Communications,In orbit,Operational,2015,,
26 October 07:10:04,Long March 2D,Tianhui 1C,CNSA,LEO (SSO),Earth observation (Cartography),In orbit,Operational,2015,,
31 October 16:13:00,Atlas V 401,USA-265 (GPS IIF-11),U.S. Air Force,MEO,Navigation,In orbit,Operational,2015,,
31 October 16:13:00,Atlas V 401,Named after Star Altair.,Named after Star Altair.,Named after Star Altair.,Named after Star Altair.,Named after Star Altair.,Named after Star Altair.,2015,,
3 November 16:25:04,Long March 3B/E,ChinaSat 2C,CNSA,GEO,Communications,In orbit,Operational,2015,,
4 November 03:45:00,SPARK,HiakaSat,ORS,LEO,Technology demonstration,4 November 2015,Launch failure,2015,,
4 November 03:45:00,SPARK,⚀ EDSN x 8,NASA,LEO,Technology demonstration,4 November 2015,Launch failure,2015,,
4 November 03:45:00,SPARK,⚀ PrintSat,Montana State University,LEO,Technology demonstration,4 November 2015,Launch failure,2015,,
4 November 03:45:00,SPARK,⚀ Argus,St. Louis University and Vanderbilt University,LEO,Technology demonstration,4 November 2015,Launch failure,2015,,
4 November 03:45:00,SPARK,⚀ STACEM,Utah State University,LEO,Technology demonstration,4 November 2015,Launch failure,2015,,
4 November 03:45:00,SPARK,⚀ Supernova-Beta,"Pumpkin, Inc.",LEO,Technology demonstration,4 November 2015,Launch failure,2015,,
4 November 03:45:00,SPARK,,Maiden flight of the SPARK/Super Strypi launch vehicle. Vehicle lost attitude control at T+1 minute.,Maiden flight of the SPARK/Super Strypi launch vehicle. Vehicle lost attitude control at T+1 minute.,Maiden flight of the SPARK/Super Strypi launch vehicle. Vehicle lost attitude control at T+1 minute.,Maiden flight of the SPARK/Super Strypi launch vehicle. Vehicle lost attitude control at T+1 minute.,Maiden flight of the SPARK/Super Strypi launch vehicle. Vehicle lost attitude control at T+1 minute.,2015,First flight,
8 November 07:06:04,Long March 4B,Yaogan 28,CNSA,LEO (SSO),Reconnaissance,In orbit,Operational,2015,,
10 November 21:34:07,Ariane 5 ECA,Arabsat 6B,Arabsat,GEO,Communications,In orbit,Operational,2015,,
10 November 21:34:07,Ariane 5 ECA,GSAT-15,ISRO,GEO,Communications,In orbit,Operational,2015,,
17 November 06:33:41,Soyuz-2.1b / Fregat,Kosmos 2510 (EKS (Tundra)),VKO,Molniya[33],Early warning,In orbit,Operational[34],2015,,
17 November 06:33:41,Soyuz-2.1b / Fregat,First space component for Russia's new unified missile early warning network.[32],First space component for Russia's new unified missile early warning network.[32],First space component for Russia's new unified missile early warning network.[32],First space component for Russia's new unified missile early warning network.[32],First space component for Russia's new unified missile early warning network.[32],First space component for Russia's new unified missile early warning network.[32],2015,,
20 November 16:07:04,Long March 3B/E,LaoSat-1,Laos National Authority for Science and Technology,GEO,Communications,In orbit,Operational,2015,,
20 November 16:07:04,Long March 3B/E,First Laotian satellite[35],First Laotian satellite[35],First Laotian satellite[35],First Laotian satellite[35],First Laotian satellite[35],First Laotian satellite[35],2015,,
24 November 06:50:00,H-IIA 204,Telstar 12V,Telesat,GEO,Communications,In orbit,Operational,2015,,
26 November 21:24:04,Long March 4C,Yaogan 29,CNSA,LEO (SSO),Reconnaissance,In orbit,Operational,2015,,
3 December 04:04:00,Vega,LISA Pathfinder,ESA / NASA,Sun–Earth L1,Technology demonstration,In orbit,Operational,2015,,
5 December 14:08:33,Soyuz-2-1v / Volga,Kosmos 2511 (Kanopus-ST),VKO,LEO (SSO),Earth observation,8 December 2015 05:43,Launch failure,2015,,
5 December 14:08:33,Soyuz-2-1v / Volga,Kosmos 2512 (KYuA-1),Almaz-Antey,LEO (SSO),Radar calibration,In orbit,Operational,2015,,
5 December 14:08:33,Soyuz-2-1v / Volga,Kanopus-ST failed to separate from the Volga upper stage.[36][37],Kanopus-ST failed to separate from the Volga upper stage.[36][37],Kanopus-ST failed to separate from the Volga upper stage.[36][37],Kanopus-ST failed to separate from the Volga upper stage.[36][37],Kanopus-ST failed to separate from the Volga upper stage.[36][37],Kanopus-ST failed to separate from the Volga upper stage.[36][37],2015,,
6 December 21:44:57,Atlas V 401,Cygnus CRS OA-4 S.S. Deke Slayton II,Orbital ATK / NASA,LEO (ISS),ISS resupply,20 February 2016,Successful,2015,,
6 December 21:44:57,Atlas V 401,SIMPL,NovaWurks,LEO,Technology demonstration,26 July 2022[40],Successful,2015,,
6 December 21:44:57,Atlas V 401,⚀ Flock-2e x 12,Planet Labs,LEO,Earth observation,First: 25 July 2017[41] Last: 14 August 2018[42],Successful,2015,,
6 December 21:44:57,Atlas V 401,⚀ CADRE,University of Michigan,LEO,Technology demonstration,3 January 2017[43],Successful,2015,,
6 December 21:44:57,Atlas V 401,⚀ MinXSS 1,University of Colorado Boulder,LEO,"Solar physics, Space weather",5 May 2017[44],Successful,2015,,
6 December 21:44:57,Atlas V 401,⚀ Nodes x 2,NASA,LEO,Technology demonstration,23 September 2017[45],Successful,2015,,
6 December 21:44:57,Atlas V 401,⚀ STMSat 1,St. Thomas More Cathedral School,LEO,Education,21 April 2017[46],Successful,2015,,
6 December 21:44:57,Atlas V 401,Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015.[38] MinXSS was deployed into orbit from ISS on 16 May 2016.[39],Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015.[38] MinXSS was deployed into orbit from ISS on 16 May 2016.[39],Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015.[38] MinXSS was deployed into orbit from ISS on 16 May 2016.[39],Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015.[38] MinXSS was deployed into orbit from ISS on 16 May 2016.[39],Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015.[38] MinXSS was deployed into orbit from ISS on 16 May 2016.[39],Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015.[38] MinXSS was deployed into orbit from ISS on 16 May 2016.[39],2015,,
9 December 16:46:04,Long March 3B/E,ChinaSat 1C,CNSA,GEO,Communications,In orbit,Operational,2015,,
11 December 13:45:33,Zenit-3F,Elektro-L No.2,Roscosmos,GEO,Meteorology,In orbit,Operational,2015,,
13 December 00:19:00,Proton-M / Briz-M,Kosmos 2513 (Garpun No. 12L),VKO,GEO,Communications,In orbit,Operational,2015,,
15 December 11:03:09,Soyuz-FG,Soyuz TMA-19M,Roscosmos,LEO (ISS),Expedition 46/47,18 June 2016 09:15,Successful,2015,,
15 December 11:03:09,Soyuz-FG,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,Crewed flight with three cosmonauts.,2015,,
16 December 12:30:00,PSLV-CA,TeLEOS-1,AgilSpace,LEO,Earth observation,In orbit,Operational,2015,,
16 December 12:30:00,PSLV-CA,VELOX C1,NTU,LEO,Atmospheric science,In orbit,Operational,2015,,
